"event_id","site_id","basin","sample_date","arrivetime","crew","depth","width","cur_spd","algae_diaoms_presen","thickness_diatoms_present","macrophyte_pct","canopy","embeddedness","rock","rubble","gravel","sand","silt","clay","land_use","general_comment","field_water_qlty","habitat","lgs_habitat_bank","lgs_habitat_macrophyte","lgs_habitat_snag","lgs_habitat_substrate","bottom_type","dominant_substrate","water_clarity_driver","macro_comment","gradient","epifaunal_cover","embeddedness_pooling","velocity_depth_regime","sediment_deposition","flow_status","channel_alteration","riffle_bend_frequency","left_bank_stability","right_bank_stability","left_bank_veg","right_bank_veg","left_bank_veg_zone","right_bank_veg_zone","habitat_comment","temp","spcond","do_conc","do_pct_sat","ph","salinity","photo","photo_2","ref_field_yn","riffle_present","chl_a","site_condition_v1","site_condition_v2","site_condition_notes","microtox","pht_id_up","pht_id_dwn","hab_present","biosample","habitat_total_score","event_id_date","snag_present"
"03-MIDL-2.4_20150721","03-MIDL-2.4",3,2015-07-21 00:00:00,12:56:00,"JL/JD",0.6,3,10,NA,NA,40,36,NA,NA,NA,NA,NA,NA,NA,"AG.","Small stream at culvert",NA,NA,2,2,2,2,"Soft","Silt","Turb",NA,NA,15,8,2,8,18,14,4,6,6,4,4,3,3,NA,19.3,939,3.61,39.3,7.73,NA,"14377589820005.jpg","14377589820006.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
"03-SAND_T21-4.0_20150716","03-SAND_T21-4.0",3,2015-07-16 00:00:00,09:39:00,"RSmith; Jlojpsberger; CLawrence",0.3,1,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,"Wetlands; forest",NA,NA,NA,2,2,2,2,"Soft","Clay","DOC",NA,NA,14,14,16,15,19,20,20,9,10,10,10,10,10,NA,18.8,95,5.03,54.5,6.8,NA,"14370659950019.jpg","14370659950020.jpg","Yes","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150716","Y"
"03-TELV-12.8_20150721","03-TELV-12.8",3,2015-07-21 00:00:00,15:44:00,"Heitz novak",0.3,3,0,NA,NA,40,55,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Substrate is mainly decomposed plant matter and very sticky mud!",NA,NA,0,2,0,2,"Very soft","Silt","Turb",NA,NA,11,11,6,9,14,15,8,7,7,9,9,10,10,NA,24.5,739,5.1,61,7.4,NA,"14377645430005.jpg","14377645430006.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","N"
"03-YANT_T1c-0.2_20150722","03-YANT_T1c-0.2",3,2015-07-22 00:00:00,10:00:00,"JL/JD",0.12,1,10,NA,NA,80,52,NA,NA,NA,NA,NA,NA,NA,"AG","Channel above stagnant pool; south of Srinagar 360. Micro tox sample done",NA,NA,2,2,0,2,"Hard","Sand","Turb",NA,NA,3,3,5,3,10,17,10,5,6,3,6,2,4,NA,18,779,6.45,68.6,7.46,NA,"14377589820011.jpg","14377589820012.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150722","N"
"04-BLAK_T7-3.0_20150707","04-BLAK_T7-3.0",4,2015-07-07 00:00:00,15:50:00,"Duffy RSmith",0.3,4,0.05,NA,NA,30,40,NA,NA,NA,NA,NA,NA,NA,"Ag","Sites flows through onstream pond just upstream",NA,NA,2,2,2,2,"Very soft","Silt","Turb",NA,NA,14,8,10,12,18,15,15,5,7,8,8,6,2,NA,25.2,970,10.2,115,7.4,NA,"14363970980023.jpg","14363970980024.jpg","No","No",5,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707","Y"
"04-JCOX-4.6_20150708","04-JCOX-4.6",4,2015-07-08 00:00:00,14:35:00,"BDuffy; RSmith",0.4,12,0,NA,NA,10,25,NA,NA,NA,NA,NA,NA,NA,"Forest","Bedrock substrate. Macrophage and bank is dominant habitat. Substrate sample is specific to the macrophyte beds",NA,NA,2,2,0,2,"Hard",NA,"Turb",NA,NA,8,3,5,15,19,19,5,8,8,8,8,8,8,NA,21.58,837,10.95,125,8.09,NA,"14363970980009.jpg","14363970980010.jpg",NA,"Yes",3.9,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150708","N"
"04-OATK-46.2_20150729","04-OATK-46.2",4,2015-07-29 00:00:00,09:15:00,"Lojpers; Heitz; Novak; Lawrence",0.3,12,33,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Moved site from original because of highly posted area Moved less than 1 mile downstream  Took sample for Chl A",NA,NA,2,2,2,2,"Soft","Silt","Turb",NA,NA,13,12,16,8,11,16,14,5,7,5,5,4,4,NA,22.2,574,6.2,71,7.7,NA,"14383508040001.jpg","14383508040002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150729","Y"
"04-SPRG-10.1_20150708","04-SPRG-10.1",4,2015-07-08 00:00:00,15:04:00,"BDuffy; RSmith",0.5,3,0.1,NA,NA,70,27,NA,NA,NA,NA,NA,NA,NA,"Wetlands; forest","Entire stream channel is enclosed by 3 meter tall cat tails.",NA,NA,1,2,0,2,"Soft","Silt","DOC",NA,NA,10,8,12,9,18,18,12,9,9,9,9,9,9,NA,22.14,722,3.05,35.2,7.44,NA,"14363970980017.jpg","14363970980018.jpg","No","No",5.35,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150708","N"
"05-CAMB-11.2_20150615","05-CAMB-11.2",5,2015-06-15 00:00:00,15:36:00,"Rsmith; AJSmith; Emosher",0.2,2,10,NA,NA,10,36,NA,NA,NA,NA,NA,NA,NA,"Agriculture","Water clarity is very poor due to recent rains and higher water. If this site looks odd it could be its normally more high gradient. Also chlorophyl a is very high but I am guessing it is due to turbidity not algae.",NA,NA,2,2,2,2,"Soft","Silt","Turb",NA,NA,17,15,16,14,18,18,18,9,9,9,9,9,9,NA,19,136,7.5,82,6.7,NA,"Yes",NA,"No","Yes",2.9,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150615","Y"
"05-WINI_T2-1.2_20150615","05-WINI_T2-1.2",5,2015-06-15 00:00:00,15:51:00,"Rsmith; AJSmith; Emosher",0.09,1.5,0,NA,NA,25,8,NA,NA,NA,NA,NA,NA,NA,"Residential","Narrow low gradient site.",NA,NA,2,2,2,2,"Hard","Clay","Turb",NA,NA,10,6,5,14,16,12,6,4,7,6,7,4,7,NA,13.6,380,5.9,57,7.1,NA,"Yes",NA,"No","No",0.29,"ref","test","High cond, low DO. Consistent outlier in plots. Lots of Cragonyx, showing low WQ. Also lots of Limnephilus. These two dominate here.",NA,NA,NA,NA,NA,NA,"20150615","Y"
"06-FABS-5.0_20150703","06-FABS-5.0",6,2015-07-03 00:00:00,13:25:00,"RSmith;JLopsberger",0.5,12,70,NA,NA,20,15,NA,NA,NA,NA,NA,NA,NA,"Wetland; agriculture","Braided. Heavy sediment deposits.",NA,NA,2,2,2,2,"Hard","Gravel",NA,NA,NA,19,12,18,7,19,19,16,9,9,9,9,9,9,"Near culvert it is very silty. 30 meters up it becomes more gravel bottomed",14.55,560,10.82,106.2,7.66,NA,"14359571840007.jpg","14359571840008.jpg","No","No",0.14,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150703","Y"
"06-FLYS-0.7_20150703","06-FLYS-0.7",6,2015-07-03 00:00:00,11:34:00,"RSmith; JLopsberger",0.7,8,40,NA,NA,50,99,NA,NA,NA,NA,NA,NA,NA,"Wetland/meadow","Extreme deposition. Very difficult to walk in all parts of stream due to deposition. Woody debris sample was very sparse.",NA,NA,2,2,2,2,"Very soft","Silt","Turb",NA,NA,13,8,14,3,18,18,18,9,9,9,7,9,7,"Very sinuous. Extremely large amount of macrophytes in center channel. Look at photograph for site.",14.73,393,10.74,106,7.71,NA,"14359571840019.jpg","14359571840020.jpg","No","No",2.17,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150703","Y"
"06-MADB-0.1_20150703","06-MADB-0.1",6,2015-07-03 00:00:00,10:55:00,"RSmith; JLopsberger",0.7,7,0.4,NA,NA,10,93,NA,NA,NA,NA,NA,NA,NA,"Agricultural",NA,NA,NA,2,2,2,2,"Soft","Silt","Turb",NA,NA,15,13,13,16,19,18,10,10,10,5,6,5,5,"0",13.89,211,8.8,85,7.13,NA,"14359571840017.jpg","14359571840018.jpg",NA,"No",0.42,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150703","Y"
"06-NING-7.7_20150716","06-NING-7.7",6,2015-07-16 00:00:00,12:22:00,"RSmith; Jlojpsberger; CLawrence",0.6,3,0.4,NA,NA,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"Soft","Silt","DOC",NA,NA,13,14,15,14,19,19,18,10,10,10,10,10,10,NA,16.89,84,8.79,90.7,6.87,NA,"14370659950067.jpg","14370659950068.jpg","Yes","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150716","Y"
"07-BUTL-3.5_20150707","07-BUTL-3.5",7,2015-07-07 00:00:00,13:23:00,"Duffy RSmith",0.8,8,0.2,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,"Ag","Site deep and soft bottomed like all sites for this Syracuse area trip. Evidence of r cent high flow",NA,NA,2,2,2,2,"Very soft","Silt","Turb",NA,NA,10,10,10,18,20,15,15,10,9,10,9,5,10,NA,22.1,610,7.2,82,7.8,NA,"14363970980035.jpg","14363970980036.jpg","No","No",3.1,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707","Y"
"07-HARB-0.5_20150707","07-HARB-0.5",7,2015-07-07 00:00:00,10:39:00,"Bduffy; Rsmith",0.8,3,10,NA,NA,40,30,NA,NA,NA,NA,NA,NA,NA,"Urban","High flood event caused trash to be present on stream bank plants. May have caused water to be very turbid as well.",NA,NA,2,2,0,2,"Very soft","Silt","Turb",NA,NA,6,6,11,6,18,1,1,8,8,4,5,2,7,NA,14.49,2085,10.25,99.6,7.61,NA,"14363970980031.jpg","14363970980032.jpg","No","No",0.06,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707","N"
"07-MUDE-4.4_20150703","07-MUDE-4.4",7,2015-07-03 00:00:00,09:24:00,"RSmith; JLopsberger",0.24,1,0.4,NA,NA,10,33,NA,NA,NA,NA,NA,NA,NA,"Agricultural",NA,NA,NA,2,2,2,2,"Hard","Gravel",NA,NA,NA,14,18,15,17,19,14,15,9,9,6,9,2,8,NA,14.43,470,8.2,80.5,7.47,NA,"14359571840013.jpg","14359571840014.jpg","No","No",2.19,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150703","Y"
"07-MUSK-0.5_20150707","07-MUSK-0.5",7,2015-07-07 00:00:00,12:29:00,"BDUFFY; RSMITH",0.8,8,40,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,"Forest",NA,NA,NA,2,2,2,2,"Hard","Sand","DOC",NA,NA,14,12,13,8,14,18,13,9,9,8,8,8,7,NA,21.8,508,4.93,57.1,7.35,NA,"14363970980039.jpg","14363970980040.jpg","No","No",2.75,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707","Y"
"07-ONON_W_T7-1.5_20150703","07-ONON_W_T7-1.5",7,2015-07-03 00:00:00,14:54:00,"RSmith; JLopsberger",0.15,0.5,NA,NA,NA,40,2,NA,NA,NA,NA,NA,NA,NA,"Wetlands; agriculture",NA,NA,NA,2,2,0,2,"Soft","Silt","Turb",NA,NA,14,8,6,9,19,19,8,9,9,6,10,4,10,NA,19.47,817,8.04,87.4,7.79,NA,"14359571840011.jpg","14359571840012.jpg","No","No",1.02,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150703","N"
"07-POBK_T4-1.5_20150707","07-POBK_T4-1.5",7,2015-07-07 00:00:00,14:25:00,"Duffy RSmith",0.1,1,0.5,NA,NA,10,70,NA,NA,NA,NA,NA,NA,NA,"Ag","Very small site.probably different streams  type than what we think of as low grad",NA,NA,-9999,-9999,-9999,-9999,"Soft","Sand","Turb",NA,NA,10,6,10,10,15,13,12,7,7,8,8,9,2,NA,21.6,1478,6.8,77,7.5,NA,"14363970980037.jpg","14363970980038.jpg",NA,"Yes",0.8,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707",NA
"07-WBOT-0.3_20150707","07-WBOT-0.3",7,2015-07-07 00:00:00,11:24:00,"RSmith; BDuffy",0.6,4,30,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,"Forest; wetland","Sank down extremely far in substrate.",NA,NA,1,2,2,2,"Very soft","Silt","Turb",NA,NA,15,9,14,10,14,15,10,7,8,8,6,9,4,"Right bank is adjacent to a home",19.9,1145,7.7,84.5,7.74,NA,"14363970980033.jpg","14363970980034.jpg","No","No",1.62,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707","Y"
"08-BARE_T5-0.5_20150619","08-BARE_T5-0.5",8,2015-06-19 00:00:00,15:53:00,"Rsmith; AJSmith; Emosher",0.5,8,60,NA,NA,25,17,NA,NA,NA,NA,NA,NA,NA,"Forest","Nice reference site. Small spill way at downstream end of reach probably makes water temp be a little high.",NA,NA,2,2,2,2,"Soft","Sand","DOC",NA,NA,16,17,17,18,18,18,17,10,10,10,10,10,10,NA,19,70,6.9,75,5.9,NA,"Yes",NA,"Yes","No",2,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150619","Y"
"08-BLAC-2.5_20150716","08-BLAC-2.5",8,2015-07-16 00:00:00,08:41:00,"RSmith; Jlojpsberger; CLawrence",0.5,3,0,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,"Agricultural",NA,NA,NA,-9999,-9999,-9999,-9999,"Soft","Sand","DOC",NA,NA,10,13,13,12,19,17,11,8,5,7,6,7,3,NA,15.34,59,9.39,93.9,6.97,NA,"14370659950017.jpg","14370659950018.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150716",NA
"09-ALLE-1.9_20150715","09-ALLE-1.9",9,2015-07-15 00:00:00,10:58:00,"RSmith; Jlojpsberger;CLawrence",0.1,1,0,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,"Forest","Heavily wooded. No detectable flow. Bridge construction going on downstream. Semi-aquatic plants and terrestrial plants in stream",NA,NA,2,0,2,2,"Hard","Clay","DOC",NA,NA,14,8,6,10,16,15,6,8,8,9,9,10,10,NA,18.67,290,2.6,28,6.87,NA,"14370659950033.jpg","14370659950034.jpg","No","No",NA,"test","ref",NA,NA,NA,NA,NA,NA,NA,"20150715","Y"
"09-BLCH-0.2_20150715","09-BLCH-0.2",9,2015-07-15 00:00:00,17:28:00,"RSmith; Jlojpsberger; CLawrence",1.2,6,0,NA,NA,20,15,NA,NA,NA,NA,NA,NA,NA,"Forest; wetlands",NA,NA,NA,2,2,0,2,"Very soft","Silt","DOC",NA,NA,8,6,7,11,19,19,8,10,10,9,9,8,7,NA,22.83,164,6.02,69.6,7.26,NA,"14370659950061.jpg","14370659950062.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150715","N"
"09-BRND-2.5_20150922","09-BRND-2.5",9,2015-09-22 00:00:00,10:38:00,"Duffy; Lope; Heitzman",0.5,12,0.1,NA,NA,10,35,NA,NA,NA,NA,NA,NA,NA,"Residential",NA,NA,NA,2,2,1,2,"Hard","Silt","Turb",NA,NA,11,13,13,12,13,16,12,6,4,8,5,8,6,NA,13.9,309,11,107,7.7,NA,"14431838420001.jpg","14431838420002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150922","Y"
"09-CEDL-0.1_20150715","09-CEDL-0.1",9,2015-07-15 00:00:00,15:03:00,"RSmith; Jlojpsberger; CLawrence",1,2.5,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,"Forest; wetlands","Very rural area. Heavy deposits of sediment.",NA,NA,2,2,0,2,"Very soft","Silt","DOC",NA,NA,12,7,10,7,19,20,15,10,10,10,10,10,10,"This could be used as a reference site.",21.73,339,4.53,51.6,7,NA,"14370659950023.jpg","14370659950024.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150715","N"
"09-ENGL-17.6_20150715","09-ENGL-17.6",9,2015-07-15 00:00:00,08:35:00,"RSmith; Jlojpsberger; CLawrence",1,2.5,10,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,"Meadow","Water extremely dark from DOC staining.",NA,NA,2,2,0,2,"Hard","Gravel","DOC",NA,NA,12,16,11,16,19,20,6,10,10,7,7,4,9,NA,20.05,111,4.2,47.2,6.54,NA,"14370659950037.jpg","14370659950038.jpg","Yes","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150715","N"
"09-FARR-3.1_20150715","09-FARR-3.1",9,2015-07-15 00:00:00,10:22:00,"RSmith; Jlojpsberger; CLawrence",1.5,5,10,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,"Forest; meadow",NA,NA,NA,2,2,2,2,"Very soft","Silt","DOC",NA,NA,7,7,11,8,6,19,19,7,7,8,8,10,10,NA,20.12,213,7.31,80.9,7.52,NA,"14370659950065.jpg","14370659950066.jpg","Yes","No",NA,"test","test","Possible ref site, 74% LU. Noted as possible in field sheet.",NA,NA,NA,NA,NA,NA,"20150715","Y"
"09-JEWT-3.1_20150923","09-JEWT-3.1",9,2015-09-23 00:00:00,10:15:00,"Lope; Duffy; Heitzman; Kate Smith",1,20,0,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,"Agricultural","No sediment sample; hard bottom No tissue",NA,NA,2,2,0,2,"Hard","Gravel","Turb",NA,NA,12,13,12,14,14,15,16,7,8,3,4,3,1,NA,13.4,350,3.4,34,7,NA,"14431838420013.jpg","14431838420014.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150923","N"
"09-LSAL_T1-1.0_20150921","09-LSAL_T1-1.0",9,2015-09-21 00:00:00,14:05:00,"Duffy; Lope; Heitzman",0.1,0.5,0,NA,NA,50,0,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Very little water in channel Collected diatom sample with pipettes only; no rocks",NA,NA,2,1,0,1,"Soft","Silt","Turb",NA,NA,11,7,5,15,7,17,11,8,8,5,5,9,9,NA,17,573,8,82,7.4,NA,"14431838420017.jpg","14431838420018.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150921","N"
"09-LSUK-11.3_20150715","09-LSUK-11.3",9,2015-07-15 00:00:00,12:57:00,"RSmith",0.5,2.5,0,NA,NA,0,20,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Engine block; carpets and other trash in stream. Lots of woody debris",NA,NA,2,0,2,2,"Soft","Silt","Turb",NA,NA,13,11,11,7,20,18,16,7,8,5,7,8,8,"Stream is surrounded on all sides by agricultural fields.",21.54,345,6.21,70.9,7.18,NA,"14370659950031.jpg","14370659950032.jpg","No","No",NA,"ref","test","Non-ref site? Habitat scores are low, notes \""Stream is surrounded on all sides by agricultural fields\"". Much of basin is high natural LU, but site is very ag heavy. Note says lots of dumping at site.",NA,NA,NA,NA,NA,NA,"20150715","Y"
"09-PIKC-8.7_20150921","09-PIKC-8.7",9,2015-09-21 00:00:00,16:30:00,"Duffy; Lope; Heitzman",0.5,5,10,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural",NA,NA,NA,1,2,2,2,"Soft","Silt","Turb",NA,NA,13,11,12,12,13,16,15,4,3,1,2,5,7,NA,19.1,211,8.2,87,7.7,NA,"14431838420021.jpg","14431838420022.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150921","Y"
"09-PLMB-12.4_20150922","09-PLMB-12.4",9,2015-09-22 00:00:00,15:25:00,"Duffy; Lope; Heitzman",0.4,6,20,NA,NA,20,53,NA,NA,NA,NA,NA,NA,NA,"Forest",NA,NA,NA,2,2,2,2,"Hard","Sand","DOC",NA,NA,17,17,13,8,9,20,16,7,5,8,5,6,10,NA,15.9,65,8.9,90,7,NA,"14431838420023.jpg","14431838420024.jpg","No","No",NA,"ref","test","Possibly not ref site! Does not cluster well. Dominance of Maccaffertium modestum tells non-low gradient<U+0085>",NA,NA,NA,NA,NA,NA,"20150922","Y"
"09-SCKE-16.4_20150715","09-SCKE-16.4",9,2015-07-15 00:00:00,13:38:00,"RSmith; Jlojpsberger; CLawrence",0.5,2,0,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,"Agricultural","100% of stream is algae and macrophyte choked. Very likely agricultural runoff affecting stream.",NA,NA,2,2,0,2,"Very soft","Silt","Susp Algae",NA,NA,4,6,11,10,20,20,14,10,10,8,8,9,9,NA,14.2,564,14.19,137.2,7.11,NA,"14370659950029.jpg","14370659950030.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150715","N"
"09-TRAY-2.9_20150715","09-TRAY-2.9",9,2015-07-15 00:00:00,11:57:00,"RSmith;Jlojpsberger; CLawrence",0.5,3,0,NA,NA,80,0,NA,NA,NA,NA,NA,NA,NA,"Residential; business","Bank has been cleared of woody vegetation.",NA,NA,2,2,2,2,"Soft","Clay","DOC",NA,NA,12,14,15,11,19,18,19,5,8,4,8,0,9,"Looks to have been past beaver activity. Short cut grass along most of left side of stream (facing downstream).",22.38,284,5.87,67.7,7.36,NA,"14370659950027.jpg","14370659950028.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150715","Y"
"09-WSCK-3.4_20150923","09-WSCK-3.4",9,2015-09-23 00:00:00,12:00:00,"Lope; Duffy; Heitzman; Kate Smith(Utica office)",0.5,10,0,NA,NA,50,10,NA,NA,NA,NA,NA,NA,NA,"Marsh; residential","Diatom pipetted off vegetation; no rocks",NA,NA,2,2,0,2,"Hard","Gravel","Turb",NA,NA,14,13,15,12,15,16,13,5,4,5,4,7,9,NA,14.6,2003,6,59,7.4,NA,"14431838420033.jpg","14431838420034.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150923","N"
"10-ARNO-0.1_20150714","10-ARNO-0.1",10,2015-07-14 00:00:00,16:05:00,"RSmith; Jlojpsberger; CLawrence",0.5,4.5,10,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,"Forest",NA,NA,NA,2,1,2,2,"Soft","Sand","DOC",NA,NA,9,14,13,15,19,18,13,7,7,9,7,9,7,NA,22.54,286,8.02,93,7.77,NA,"14370659950045.jpg","14370659950046.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-COLW-0.7_20150714","10-COLW-0.7",10,2015-07-14 00:00:00,12:03:00,"RSmith; JLojpsberger; CLawrence",0.7,4,20,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,"Ag","Down unnamed dirt road past old barn",NA,NA,2,0,2,2,"Soft","Sand","DOC",NA,NA,10,8,11,13,19,17,7,8,8,5,5,7,7,NA,21.79,166,8.56,97.6,7.57,NA,"14370659950011.jpg","14370659950012.jpg","No","No",0.45,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-MILC-6.3_20150714","10-MILC-6.3",10,2015-07-14 00:00:00,10:55:00,"RSmith; Jlojpsberger; CLawrence",0.3,4,20,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,"Forest; ag","Next to farm where I did the fish ibi with zach and Anne",NA,NA,2,0,2,2,"Soft","Sand",NA,NA,NA,18,16,17,15,19,18,15,9,9,8,8,7,9,NA,20.04,82,8.75,96.7,7.17,NA,"14370659950013.jpg","14370659950014.jpg",NA,"Yes",0.47,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-NSAR_T7-0.8_20150714","10-NSAR_T7-0.8",10,2015-07-14 00:00:00,14:52:00,"RSmith; Jlojpsberger; CLawrence",0.1,0.2,20,NA,NA,10,8,NA,NA,NA,NA,NA,NA,NA,"Wetlands; forest","Very mucky. Many side channels. Heavy vegetation growth along sides of main channel.",NA,NA,2,2,1,2,"Very soft","Silt","DOC",NA,NA,10,5,6,4,19,19,16,9,9,8,8,9,8,"Characterized best as predominantly wetland with a small stream flowing through it.",21,71,6.94,77.8,6.73,NA,"14370659950039.jpg","14370659950040.jpg","Yes","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-PUTM_T5-0.3_20150714","10-PUTM_T5-0.3",10,2015-07-14 00:00:00,10:08:00,"RSmith; jlojpsberger; clawrence",0.5,2,30,NA,NA,10,95,NA,NA,NA,NA,NA,NA,NA,"Forest",NA,NA,NA,2,2,2,2,"Soft","Sand","DOC",NA,NA,19,15,16,17,19,19,17,8,8,8,8,9,9,NA,19.45,136,7.37,80.5,6.97,NA,"14370659950025.jpg","14370659950026.jpg","Yes","No",0,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-TWOB-3.6_20150714","10-TWOB-3.6",10,2015-07-14 00:00:00,13:49:00,"RSmith; Jlojpsberger; CLAWRENCE",0.3,4,50,NA,NA,70,2,NA,NA,NA,NA,NA,NA,NA,"Forest; wetland","Beaver dam upstream of site. Chlorophyll meter was not working.",NA,NA,2,2,2,2,"Soft","Sand","DOC",NA,NA,14,12,12,15,19,18,7,9,9,9,9,9,9,NA,22.35,120,7.37,84.8,6.83,NA,"14370659950041.jpg","14370659950042.jpg","Yes","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"10-URIL-0.4_20150714","10-URIL-0.4",10,2015-07-14 00:00:00,16:46:00,"RSmith; Jlojpsberger; CLawrence",0.5,3.5,10,NA,NA,10,22,NA,NA,NA,NA,NA,NA,NA,"Residential","Heavy beaver activity. Lots of woody debris. Lots of odonates. Iron precipitate along banks.",NA,NA,2,2,2,2,"Hard","Gravel","DOC",NA,NA,13,8,14,10,19,14,14,6,5,7,6,9,7,"Tires and bottles present.",23.98,314,7.19,85.7,7.55,NA,"14370659950009.jpg","14370659950010.jpg","No","No",NA,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150714","Y"
"11-GORN-6.0_20150618","11-GORN-6.0",11,2015-06-18 00:00:00,10:15:00,"Rsmith; AJSmith; Emosher",0.6,1.5,40,NA,NA,25,6.4,NA,NA,NA,NA,NA,NA,NA,"Forest; Wetland","Stonefly found on log. Good reference site.",NA,NA,2,2,2,2,"Soft","Clay","DOC",NA,NA,18,15,13,6,14,20,18,9,9,9,9,10,10,"Very good epifaunal condition. Sampled 25 yards upstream of bridge.",16.79,310,10.14,104,7.47,NA,"Yes",NA,"Yes","No",1.7,"test","ref","Possible ref site, 74.7% LU. Noted as possible in field sheet.",NA,NA,NA,NA,NA,NA,"20150618","Y"
"11-SRUN-3.8_20150618","11-SRUN-3.8",11,2015-06-18 00:00:00,13:03:00,"Rsmith; AJSmith; Emosher",0.45,4.5,70,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,"Residential","Gray water color and conductivity is very high. Nice habitat plenty of snags and overhanging vegetation.",NA,NA,2,2,2,2,"Soft","Sand","Turb",NA,NA,16,4,8,16,17,16,17,7,8,8,8,9,4,NA,15,1309,9.6,96,7.3,NA,"Maybe",NA,"No","No",0.25,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150618","Y"
"12-ALPL_T11-2.1_20150618","12-ALPL_T11-2.1",12,2015-06-18 00:00:00,15:11:00,"Rsmith; AJSmith; Emosher",0.15,1,10,NA,NA,60,58.4,NA,NA,NA,NA,NA,NA,NA,"Residential; Forest; Wetland",NA,NA,NA,2,2,0,2,"Very Soft","Clay","DOC",NA,NA,16,13,3,16,17,13,6,9,9,9,8,9,9,NA,18.52,285,8.62,92.3,7.06,NA,"Yes",NA,"Yes","No",1.02,"ref","ref",NA,NA,NA,NA,NA,NA,NA,"20150618","N"
