site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida,,event_id,site_id,basin,sample_date,arrivetime,crew,depth,width,cur_spd,algae_diaoms_presen,thickness_diatoms_present,macrophyte_pct,canopy,embeddedness,rock,rubble,gravel,sand,silt,clay,land_use,general_comment,field_water_qlty,habitat,lgs_habitat_bank,lgs_habitat_macrophyte,lgs_habitat_snag,lgs_habitat_substrate,bottom_type,dominant_substrate,water_clarity_driver,macro_comment,gradient,epifaunal_cover,embeddedness_pooling,velocity_depth_regime,sediment_deposition,flow_status,channel_alteration,riffle_bend_frequency,left_bank_stability,right_bank_stability,left_bank_veg,right_bank_veg,left_bank_veg_zone,right_bank_veg_zone,habitat_comment,temp,spcond,do_conc,do_pct_sat,ph,salinity,photo,photo_2,ref_field_yn,riffle_present,chl_a,site_condition_v1,site_condition_v2,site_condition_notes,microtox,pht_id_up,pht_id_dwn,hab_present,biosample,habitat_total_score,snag_present,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,landcover_water_pct,landcover_agdev_pct,site_id,condition_class,PC1
04-JCOX_S-3.7,25,0,2,0,0,1,2,0,0,4,0,165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,04-JCOX_S-3.7_20190723,04-JCOX_S-3.7,4,7/23/2019,16:27:00,"Vanvessum,Schnore",NA,NA,-5,0,0,90,20,100,1,NA,NA,NA,99,NA,NA,NA,Very_poor,Low_flow,2,2,0,2,Very_soft,Silt,NA,NA,Low,10,10,10,20,10,10,10,6,10,10,10,5,5,NA,21,901,3.8,45,7.35,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,23.55072464,12.5,63.94927536,0,76.44927536,04-JCOX_S-3.7,3,-1.982371275
04-MCMI_S-5.0,14,0,3,34,1,49,11,0,0,0,0,13,0,0,0,0,0,0,2,0,1,48,0,0,0,0,0,0,1,0,29,,04-MCMI_S-5.0_20190723,04-MCMI_S-5.0,4,7/23/2019,14:40:00,"Schnore,Vanvessum",NA,4,2,NA,1,30,70,70,0,30,10,60,0,0,Forest,NA,Good,Sand,2,2,2,2,Soft,Sand,Turbidity,"Low gradient sandy bottom with rubble on top









",Low,16,18,7,16,18,19,7,9,9,9,9,5,9,NA,23,316,6.9,86,7.62,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,67.29391939,4.79801526,27.37443243,0.533632917,32.17244769,04-MCMI_S-5.0,2,0.706817276
04-OATK-46.2,31,0,3,5,1,73,6,0,0,3,0,6,0,0,0,0,0,0,3,0,0,2,52,0,0,0,0,0,1,0,41,,04-OATK-46.2_20150729,04-OATK-46.2,4,7/29/2015,9:15:00,Lojpers; Heitz; Novak; Lawrence,0.3,12,33,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,Agricultural,Moved site from original because of highly posted area Moved less than 1 mile downstream  Took sample for Chl A,NA,NA,2,2,2,2,Soft,Silt,Turb,NA,NA,13,12,16,8,11,16,14,5,7,5,5,4,4,NA,22.2,574,6.2,71,7.7,NA,14383508040001.jpg,14383508040002.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,42.02580163,5.78333044,52.09070634,0.100161594,57.87403678,04-OATK-46.2,3,-0.941166046
04-SPRG-10.1,44,0,3,0,0,141,6,9,0,0,0,37,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,2,,04-SPRG-10.1_20150708,04-SPRG-10.1,4,7/8/2015,15:04:00,BDuffy; RSmith,0.5,3,0.1,NA,NA,70,27,NA,NA,NA,NA,NA,NA,NA,Wetlands; forest,Entire stream channel is enclosed by 3 meter tall cat tails.,NA,NA,1,2,0,2,Soft,Silt,DOC,NA,NA,10,8,12,9,18,18,12,9,9,9,9,9,9,NA,22.14,722,3.05,35.2,7.44,NA,14363970980017.jpg,14363970980018.jpg,No,No,5.35,test,test,NA,NA,NA,NA,NA,NA,NA,N,16.99450145,5.135763279,77.86973528,0,83.00549855,04-SPRG-10.1,3,-1.701650613
04-WCONI-0.6,22,0,9,2,0,59,78,0,0,1,0,21,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,,04-WCONI-0.6_20190723,04-WCONI-0.6,4,7/23/2019,15:20:00,"Vanvessum,Schnore",0.15,3,27.3,20,1,20,70,80,10,0,40,30,20,0,Forest,NA,Good,Adequate,2,2,2,2,Soft,Silt,Turbidity,2020-02-12 NOTE- SDG date and sample dates were entered in reverse. Corrected these and HABs IDs accordingly.,Low,15,10,10,10,17,15,5,8,10,3,9,6,10,NA,22,399,5.8,70,7.44,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,64.14308254,4.698747658,30.97820728,0.179962528,35.67695494,04-WCONI-0.6,2,0.24304075
04-WDIT-0.1,81,0,6,4,0,67,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,33,6,3,0,0,0,0,1,0,2,,04-WDIT-0.1_20190724,04-WDIT-0.1,4,7/24/2019,12:00:00,"Heitzman,Nichols",0.5,5,30,NA,-9999,10,80,NA,0,0,0,0,15,85,Agriculture,NA,NA,NA,2,0,2,2,Very_soft,Clay,Turbidity,"Took 3 of 4 low gradient habitats Only tiny macrophytes, none in water anymore",Low,5,5,7,8,7,17,11,4,3,9,2,9,2,NA,20,562,6.94,76.7,7.75,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,43.54979604,5.558627654,50.86112246,0.030453842,56.41975012,04-WDIT-0.1,3,-1.321230078
04-WMRSG-0.2,3,0,2,71,0,41,1,0,0,1,0,16,0,5,0,0,0,0,8,0,0,0,37,0,0,0,0,0,0,0,16,,04-WMRSG-0.2_20190725,04-WMRSG-0.2,4,7/25/2019,10:18:00,"Conine,Lemley",0.5,6,10,20,3,20,10,NA,0,0,15,0,85,0,Forest,NA,Good,Adequate,2,2,2,2,Soft,Silt,Turbidity,Low gradient. Sampled above Wag Trail walking bridge in nature preserve.,Low,20,18,15,20,15,20,20,10,10,10,10,10,10,NA,20,129,7.52,81.8,7.24,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,61.43384441,1.652470187,36.91368541,0,38.56615559,04-WMRSG-0.2,1,1.525832253
05-CAMB-11.2,13,0,13,15,0,93,5,17,0,0,0,30,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,,05-CAMB-11.2_20150615,05-CAMB-11.2,5,6/15/2015,15:36:00,Rsmith; AJSmith; Emosher,0.2,2,10,NA,NA,10,36,NA,NA,NA,NA,NA,NA,NA,Agriculture,Water clarity is very poor due to recent rains and higher water. If this site looks odd it could be its normally more high gradient. Also chlorophyl a is very high but I am guessing it is due to turbidity not algae.,NA,NA,2,2,2,2,Soft,Silt,Turb,NA,NA,17,15,16,14,18,18,18,9,9,9,9,9,9,NA,19,136,7.5,82,6.7,NA,Yes,NA,No,Yes,2.9,test,test,NA,NA,NA,NA,NA,NA,NA,Y,53.96825397,1.628001628,43.95604396,0.447700448,45.58404558,05-CAMB-11.2,1,1.231425538
05-CBRO-1.8,55,0,67,0,0,4,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,,05-CBRO-1.8_20170828,05-CBRO-1.8,5,8/28/2017,14:20:00,Mosher heitzman,0.8,10,10,0,NA,60,41,NA,NA,NA,NA,NA,NA,NA,Residential,"Nice low gradient site, not gross",NA,Adequate,2,2,2,2,Soft,Silt,Turbidity,NA,NA,18,18,15,16,17,17,16,4,9,6,9,2,4,NA,15.5,706,6.3,64,7.2,0.36,NA,NA,NA,NA,NA,NA,NA,NA,0,15040392720003.jpg,15040392720004.jpg,0,1,151,Y,17.81246129,74.9783228,7.134894091,0.074321813,82.1132169,05-CBRO-1.8,3,-0.989145846
05-STEO-35.7,9,0,0,27,2,142,15,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,1,,05-STEO-35.7_20170809,05-STEO-35.7,5,8/9/2017,11:56:00,"Smith, Duffy",0.5,15,17,100,3,30,6,75,5,10,25,10,50,0,Agriculture,Low gradient stream,Good,Other,2,2,2,2,Soft,Silt,Turbidity,NA,NA,16,15,4,3,18,14,5,3,4,5,5,8,3,NA,20,635,6.7,76,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15027233130033.jpg,15027233130034.jpg,0,1,103,Y,63.91620453,6.079243972,29.73445604,0.270095462,35.81370001,05-STEO-35.7,2,-0.588205763
05-WINI_T2-1.2,76,0,12,3,0,47,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,41,6,0,0,0,0,0,0,0,5,,05-WINI_T2-1.2_20150615,05-WINI_T2-1.2,5,6/15/2015,15:51:00,Rsmith; AJSmith; Emosher,0.09,1.5,0,NA,NA,25,8,NA,NA,NA,NA,NA,NA,NA,Residential,Narrow low gradient site.,NA,NA,2,2,2,2,Hard,Clay,Turb,NA,NA,10,6,5,14,16,12,6,4,7,6,7,4,7,NA,13.6,380,5.9,57,7.1,NA,Yes,NA,No,No,0.29,ref,test,"High cond, low DO. Consistent outlier in plots. Lots of Cragonyx, showing low WQ. Also lots of Limnephilus. These two dominate here.",NA,NA,NA,NA,NA,NA,Y,83.5477707,7.949044586,8.503184713,0,16.4522293,05-WINI_T2-1.2,2,0.590046865
06-FABS-5.0,2,0,1,1,0,118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,10,0,0,0,0,0,2,0,61,,06-FABS-5.0_20150703,06-FABS-5.0,6,7/3/2015,13:25:00,RSmith;JLopsberger,0.5,12,70,NA,NA,20,15,NA,NA,NA,NA,NA,NA,NA,Wetland; agriculture,Braided. Heavy sediment deposits.,NA,NA,2,2,2,2,Hard,Gravel,NA,NA,NA,19,12,18,7,19,19,16,9,9,9,9,9,9,Near culvert it is very silty. 30 meters up it becomes more gravel bottomed,14.55,560,10.82,106.2,7.66,NA,14359571840007.jpg,14359571840008.jpg,No,No,0.14,test,test,NA,NA,NA,NA,NA,NA,NA,Y,35.45232274,6.008742684,57.45721271,1.081721864,63.4659554,06-FABS-5.0,2,-0.299251699
06-FLYS-0.7,112,0,20,2,2,63,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,,06-FLYS-0.7_20150703,06-FLYS-0.7,6,7/3/2015,11:34:00,RSmith; JLopsberger,0.7,8,40,NA,NA,50,99,NA,NA,NA,NA,NA,NA,NA,Wetland/meadow,Extreme deposition. Very difficult to walk in all parts of stream due to deposition. Woody debris sample was very sparse.,NA,NA,2,2,2,2,Very soft,Silt,Turb,NA,NA,13,8,14,3,18,18,18,9,9,9,7,9,7,Very sinuous. Extremely large amount of macrophytes in center channel. Look at photograph for site.,14.73,393,10.74,106,7.71,NA,14359571840019.jpg,14359571840020.jpg,No,No,2.17,test,test,NA,NA,NA,NA,NA,NA,NA,Y,42.6509546,3.028226911,53.81839773,0.502420755,56.84662465,06-FLYS-0.7,2,-0.492528851
06-MADB-0.1,113,0,4,0,4,50,4,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06-MADB-0.1_20150703,06-MADB-0.1,6,7/3/2015,10:55:00,RSmith; JLopsberger,0.7,7,0.4,NA,NA,10,93,NA,NA,NA,NA,NA,NA,NA,Agricultural,NA,NA,NA,2,2,2,2,Soft,Silt,Turb,NA,NA,15,13,13,16,19,18,10,10,10,5,6,5,5,0,13.89,211,8.8,85,7.13,NA,14359571840017.jpg,14359571840018.jpg,NA,No,0.42,test,test,NA,NA,NA,NA,NA,NA,NA,Y,66.79406588,3.203419663,29.76615539,0.236359065,32.96957506,06-MADB-0.1,2,0.985458844
06-NING-7.7,5,0,0,10,0,161,4,7,0,0,0,1,0,0,6,0,0,0,3,0,0,8,2,0,1,1,0,0,0,0,11,,06-NING-7.7_20150716,06-NING-7.7,6,7/16/2015,12:22:00,RSmith; Jlojpsberger; CLawrence,0.6,3,0.4,NA,NA,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,Soft,Silt,DOC,NA,NA,13,14,15,14,19,19,18,10,10,10,10,10,10,NA,16.89,84,8.79,90.7,6.87,NA,14370659950067.jpg,14370659950068.jpg,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,NA,NA,Y,88.73177198,0.980998674,10.03093239,0.256296951,11.01193106,06-NING-7.7,1,2.142304547
07-BLDY-0.1,16,0,5,1,0,116,16,2,0,0,0,1,0,0,0,0,5,0,22,0,0,1,16,0,0,0,0,0,1,0,0,,07-BLDY-0.1_20160713,07-BLDY-0.1,7,7/13/2016,9:52:00,"Lope,heitz",0.35,3.5,5,100,3,30,0,10,0,30,10,50,10,NA,Residential,Low gradient,NA,Adequate,2,2,0,2,Hard,Sand,Turbidity,NA,NA,2,4,1,4,6,1,1,8,8,1,1,0,0,Stream near Onondaga lake. Middle of town park.,20.2,2592,7.1,79,7.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0,14688517040003.jpg,14688517040004.jpg,NA,1,37,N,10.73872087,87.46653446,1.79474467,0,89.26127913,07-BLDY-0.1,3,-5.15764046
07-BUTL-3.5,27,0,42,6,0,104,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,2,4,0,0,1,0,0,4,0,0,,07-BUTL-3.5_20150707,07-BUTL-3.5,7,7/7/2015,13:23:00,Duffy RSmith,0.8,8,0.2,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,Ag,Site deep and soft bottomed like all sites for this Syracuse area trip. Evidence of r cent high flow,NA,NA,2,2,2,2,Very soft,Silt,Turb,NA,NA,10,10,10,18,20,15,15,10,9,10,9,5,10,NA,22.1,610,7.2,82,7.8,NA,14363970980035.jpg,14363970980036.jpg,No,No,3.1,test,test,NA,NA,NA,NA,NA,NA,NA,Y,42.64479095,3.195681974,54.07385195,0.08567512,57.26953393,07-BUTL-3.5,2,-0.473856626
07-CANA-32.8,64,0,9,10,3,73,2,1,0,1,0,2,0,0,1,0,0,0,10,0,0,21,3,0,0,0,0,0,0,0,3,,07-CANA-32.8_20160712,07-CANA-32.8,7,7/12/2016,13:36:00,"Chong, Duffy",1,7,30,10,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,Residential,NA,NA,NA,2,2,2,2,Soft,Silt,Susp algae,NA,NA,16,14,15,NA,18,17,11,7,8,10,10,2,3,NA,24.07,536,9.08,108,8.14,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,14685037830005.jpg,14685037830006.jpg,NA,1,131,Y,48.31096654,7.099256506,35.62286245,8.966914498,42.72211896,07-CANA-32.8,2,-0.339181878
07-COWA_T10-0.9,0,3,93,5,2,29,0,0,0,17,0,35,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,9,,07-COWA_T10-0.9_20160714,07-COWA_T10-0.9,7,7/14/2016,8:55:00,"LOPE, HEITZ",3,3,10,NA,NA,10,60,NA,NA,NA,NA,NA,NA,NA,Residential,"Heavy rains previous night. Oil sheen on water, could be from National Grid working on power lines that fell in storm. Small YOY smallmouth bass",NA,Low flow,2,2,2,2,Very soft,Silt,Turbidity,NA,NA,12,13,12,13,16,19,11,8,8,9,7,9,6,NA,22,551,4.8,57,7.69,0.27,NA,NA,NA,NA,NA,NA,NA,NA,1,14688517040007.jpg,14688517040008.jpg,NA,1,143,Y,37.24045546,37.3074347,25.45210985,0,62.75954454,07-COWA_T10-0.9,2,-0.404393865
07-GEDD-1.4,199,0,1,0,0,6,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,07-GEDD-1.4_20160713,07-GEDD-1.4,7,7/13/2016,14:12:00,"Chong, Duffy",0.3,3,25,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Commercial,NA,Good,NA,2,2,1,2,Hard,Gravel,NA,NA,NA,12,17,17,NA,20,18,3,9,9,10,10,4,2,NA,18.03,2267,8.18,87,7.67,1.17,NA,NA,NA,NA,NA,NA,NA,NA,0,14685037830017.jpg,14685037830018.jpg,NA,1,131,Y,33.71872161,45.88322735,20.36501776,0.033033281,66.24824511,07-GEDD-1.4,3,-2.355704219
07-HARB-0.5,19,0,183,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,,07-HARB-0.5_20150707,07-HARB-0.5,7,7/7/2015,10:39:00,Bduffy; Rsmith,0.8,3,10,NA,NA,40,30,NA,NA,NA,NA,NA,NA,NA,Urban,High flood event caused trash to be present on stream bank plants. May have caused water to be very turbid as well.,NA,NA,2,2,0,2,Very soft,Silt,Turb,NA,NA,6,6,11,6,18,1,1,8,8,4,5,2,7,NA,14.49,2085,10.25,99.6,7.61,NA,14363970980031.jpg,14363970980032.jpg,No,No,0.06,test,test,NA,NA,NA,NA,NA,NA,NA,N,32.6882092,49.36927596,17.6401129,0.302401935,67.00938886,07-HARB-0.5,3,-3.262452529
07-HENC_T4-1.2,11,0,16,30,0,126,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,3,,07-HENC_T4-1.2_20160713,07-HENC_T4-1.2,7,7/13/2016,8:35:00,Mosher smith,0.2,0.8,0,10,1,0,0,NA,0,25,35,20,10,10,Agriculture,"Low flow, low gradient, agriculture, large farm upstream, knotweed, bugs not bad.",Good,Low flow,2,0,0,2,Hard,Gravel,Turbidity,NA,NA,7,18,6,13,17,11,8,8,8,5,7,1,1,"Ag field, knotweed surrounds",16.4,406,4.2,42,7.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0,14685084240015.jpg,14685084240016.jpg,NA,1,110,N,31.12373737,2.02020202,66.85606061,0,68.87626263,07-HENC_T4-1.2,3,-1.067171668
07-JACB-1.9,1,0,3,77,0,70,0,2,0,0,0,19,0,0,0,0,0,0,3,0,2,4,6,0,0,0,0,0,0,1,15,,07-JACB-1.9_20160712,07-JACB-1.9,7,7/12/2016,14:28:00,Mosher smith,0.2,3,4,30,1,10,1,75,0,10,10,30,40,10,Agriculture,Low gradient,Poor,Other,2,2,0,2,Soft,Silt,Turbidity,NA,NA,13,14,14,9,18,16,16,8,7,4,4,4,4,"Narrow low gradient, farm and pasture",18,730,8.1,85,8.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,1,14685084240017.jpg,14685084240018.jpg,NA,1,131,N,15.42558342,3.282657112,81.29175947,0,84.57441658,07-JACB-1.9,3,-1.82763729
07-LITR-0.2,25,2,8,8,2,30,54,0,0,0,0,1,0,0,0,0,29,0,6,0,0,11,1,0,0,0,0,0,0,0,25,,07-LITR-0.2_20160712,07-LITR-0.2,7,7/12/2016,14:48:00,"LOPE, HEITZ",0.6,8,20,90,1,30,36,30,NA,NA,NA,NA,NA,NA,Forest,LGSS,NA,Other,2,2,2,2,Hard,Silt,Turbidity,NA,NA,17,17,15,14,16,16,15,8,8,7,8,7,8,NA,21.8,119,8.3,96,7.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,1,14688517040015.jpg,14688517040016.jpg,NA,1,156,Y,89.28960792,0.537706771,7.873803788,2.298881516,8.411510559,07-LITR-0.2,1,1.723261597
07-MUDE-4.4,3,0,9,13,0,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,0,0,0,0,0,1,0,92,,07-MUDE-4.4_20150703,07-MUDE-4.4,7,7/3/2015,9:24:00,RSmith; JLopsberger,0.24,1,0.4,NA,NA,10,33,NA,NA,NA,NA,NA,NA,NA,Agricultural,NA,NA,NA,2,2,2,2,Hard,Gravel,NA,NA,NA,14,18,15,17,19,14,15,9,9,6,9,2,8,NA,14.43,470,8.2,80.5,7.47,NA,14359571840013.jpg,14359571840014.jpg,No,No,2.19,test,test,NA,NA,NA,NA,NA,NA,NA,Y,33.74029022,57.92154941,8.265383416,0.072776961,66.18693282,07-MUDE-4.4,2,-0.042484113
07-MUSK-0.5,285,0,0,32,0,22,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,,07-MUSK-0.5_20150707,07-MUSK-0.5,7,7/7/2015,12:29:00,BDUFFY; RSMITH,0.8,8,40,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,2,2,2,2,Hard,Sand,DOC,NA,NA,14,12,13,8,14,18,13,9,9,8,8,8,7,NA,21.8,508,4.93,57.1,7.35,NA,14363970980039.jpg,14363970980040.jpg,No,No,2.75,test,test,NA,NA,NA,NA,NA,NA,NA,Y,33.8832875,4.636017174,57.6696094,3.811085918,62.30562658,07-MUSK-0.5,2,-0.667512129
07-NINE-0.7,2,0,0,10,0,179,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,07-NINE-0.7_20160713,07-NINE-0.7,7,7/13/2016,13:50:00,Dong,0.7,15,10,NA,NA,10,15,NA,NA,NA,NA,NA,NA,NA,Commercial,NA,Poor,NA,2,1,1,2,Soft,Silt,Turbidity,NA,NA,8,13,13,NA,17,8,0,5,5,6,6,1,1,NA,22.2,2743,10.4,120,7.9,1.42,NA,NA,NA,NA,NA,NA,NA,NA,0,14685037830025.jpg,14685037830026.jpg,NA,1,83,Y,42.37388366,14.09727251,40.18736423,3.341479604,54.28463674,07-NINE-0.7,3,-3.479693138
07-NORB_T10-1.5,160,0,0,4,0,27,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,6,,07-NORB_T10-1.5_20160713,07-NORB_T10-1.5,7,7/13/2016,8:08:00,"Chong, Duffy",0.1,1,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,Agriculture,Scud dominated,NA,Adequate,2,1,2,2,Soft,Sand,Turbidity,NA,NA,17,17,7,18,15,15,14,9,9,10,10,10,10,NA,18.29,724,6.91,73.1,7.94,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,14685037830039.jpg,14685037830040.jpg,NA,1,161,Y,33.89121339,19.33054393,46.77824268,0,66.10878661,07-NORB_T10-1.5,2,-0.677283964
07-ONON_W_T7-1.5,42,0,61,12,0,67,9,0,0,0,0,1,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,32,,07-ONON_W_T7-1.5_20150703,07-ONON_W_T7-1.5,7,7/3/2015,14:54:00,RSmith; JLopsberger,0.15,0.5,NA,NA,NA,40,2,NA,NA,NA,NA,NA,NA,NA,Wetlands; agriculture,NA,NA,NA,2,2,0,2,Soft,Silt,Turb,NA,NA,14,8,6,9,19,19,8,9,9,6,10,4,10,NA,19.47,817,8.04,87.4,7.79,NA,14359571840011.jpg,14359571840012.jpg,No,No,1.02,test,test,NA,NA,NA,NA,NA,NA,NA,N,6.401766004,4.746136865,88.85209713,0,93.598234,07-ONON_W_T7-1.5,3,-2.269045843
07-POBK_T4-1.5,133,0,0,0,0,24,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,24,0,7,,07-POBK_T4-1.5_20150707,07-POBK_T4-1.5,7,7/7/2015,14:25:00,Duffy RSmith,0.1,1,0.5,NA,NA,10,70,NA,NA,NA,NA,NA,NA,NA,Ag,Very small site.probably different streams  type than what we think of as low grad,NA,NA,-9999,-9999,-9999,-9999,Soft,Sand,Turb,NA,NA,10,6,10,10,15,13,12,7,7,8,8,9,2,NA,21.6,1478,6.8,77,7.5,NA,14363970980037.jpg,14363970980038.jpg,NA,Yes,0.8,test,test,NA,NA,NA,NA,NA,NA,NA,NA,5.744125326,12.35857267,81.46214099,0.43516101,93.82071366,07-POBK_T4-1.5,3,-2.885456232
07-SNDR-1.5,1,0,44,0,4,32,3,0,0,0,0,44,0,0,0,0,0,0,37,0,0,0,15,0,0,0,0,0,0,0,26,,07-SNDR-1.5_20160713,07-SNDR-1.5,7,7/13/2016,11:18:00,"Lope,heitz",0.25,1.5,0.5,100,1,30,2,20,0,25,30,30,15,NA,Commercial,Crawfish in large number. On a low gradient ditch stream low gradient protocol no wga   70 crawfish counted in sample. Removed some for effective. Preservation. Appeared to be all rusticus.,NA,Adequate,2,2,0,2,Soft,Silt,Turbidity,NA,NA,1,1,1,2,6,2,1,4,3,3,2,0,0,City drainage ditch called a creek.  Did see a muskrat.  And huge number of crawfish in the low grad composite,23,2708,2.6,30,7.27,1.41,NA,NA,NA,NA,NA,NA,NA,NA,0,14688517040029.jpg,14688517040030.jpg,NA,0,26,N,12.53776435,77.75679758,9.705438066,0,87.46223565,07-SNDR-1.5,3,-5.223591938
07-WBOT-0.3,175,0,62,5,0,31,0,5,0,0,0,34,2,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,,07-WBOT-0.3_20150707,07-WBOT-0.3,7,7/7/2015,11:24:00,RSmith; BDuffy,0.6,4,30,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,Forest; wetland,Sank down extremely far in substrate.,NA,NA,1,2,2,2,Very soft,Silt,Turb,NA,NA,15,9,14,10,14,15,10,7,8,8,6,9,4,Right bank is adjacent to a home,19.9,1145,7.7,84.5,7.74,NA,14363970980033.jpg,14363970980034.jpg,No,No,1.62,test,test,NA,NA,NA,NA,NA,NA,NA,Y,43.23653085,7.625347333,48.79632134,0.341800477,56.42166867,07-WBOT-0.3,3,-1.407195646
08-BARE_T5-0.5,0,0,1,3,0,197,4,0,2,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,3,,08-BARE_T5-0.5_20150619,08-BARE_T5-0.5,8,6/19/2015,15:53:00,Rsmith; AJSmith; Emosher,0.5,8,60,NA,NA,25,17,NA,NA,NA,NA,NA,NA,NA,Forest,Nice reference site. Small spill way at downstream end of reach probably makes water temp be a little high.,NA,NA,2,2,2,2,Soft,Sand,DOC,NA,NA,16,17,17,18,18,18,17,10,10,10,10,10,10,NA,19,70,6.9,75,5.9,NA,Yes,NA,Yes,No,2,ref,ref,NA,NA,NA,NA,NA,NA,NA,Y,92.20360825,1.095360825,0,6.701030928,1.095360825,08-BARE_T5-0.5,1,3.023274313
08-BENE-0.2,0,0,0,1,0,42,120,0,0,0,0,0,0,0,1,0,0,0,4,0,2,33,0,0,0,0,0,0,0,0,1,,08-BENE-0.2_20170912,08-BENE-0.2,8,9/12/2017,12:54:00,Mosher onion,1,10,NA,NA,NA,10,13,NA,NA,NA,NA,NA,NA,NA,Wetland,"May have once been riffle, now very much low gradient, hard bottomed",NA,Adequate,2,2,2,2,Hard,Sand,DOC,NA,NA,16,17,13,16,17,19,16,9,9,10,10,10,10,NA,11.8,17.6,9.99,98.1,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15057415140005.jpg,15057415140006.jpg,0,1,172,Y,98.451491,0.09036392,0,1.458145075,0.09036392,08-BENE-0.2,1,2.946057328
