OBJECTID,Name,RegionID,RegionName,AreaPercen,AreaSqMi,StatLabel,StatName,Value,Units,MinLimit,MaxLimit
777,17-EMED-0.4,gc1562,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,0.806,13.94
778,17-EMED-0.4,gc1627,,,,DRNAREA,Drainage Area,28.7,square miles,0.08,7783
779,17-EMED-0.4,gc1563,,,,DRNAREA,Drainage Area,28.7,square miles,0.05,2809
780,17-EMED-0.4,gc1563,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,0.339,13.523
781,17-EMED-0.4,gc1563,,,,SSURGOKSAT,SSURGO Saturated Hydraulic Conductivity,-999.99,micrometers per second,1.883,33.572
782,17-EMED-0.4,gc1628,,,,DRNAREA,Drainage Area,28.7,square miles,0.05,2809
783,17-EMED-0.4,gc1743,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.17,15000
784,17-EMED-0.4,gc1743,,,,PRECPRIS10,Mean Annual Precip PRISM 1981 2010,-999.99,inches,15.3,47
785,17-EMED-0.4,gc1744,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1.02,14600
786,17-EMED-0.4,gc524,,,,DRNAREA,Drainage Area,28.7,square miles,0.16,1197
787,17-EMED-0.4,gc524,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,3.49,206
788,17-EMED-0.4,gc525,,,,DRNAREA,Drainage Area,28.7,square miles,0.09,1232
789,17-EMED-0.4,gc526,,,,DRNAREA,Drainage Area,28.7,square miles,0.59,722
790,17-EMED-0.4,gc527,,,,DRNAREA,Drainage Area,28.7,square miles,0.26,960
791,17-EMED-0.4,gc527,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,3.6,343
792,17-EMED-0.4,gc528,,,,DRNAREA,Drainage Area,28.7,square miles,0.24,1299
793,17-EMED-0.4,gc529,,,,DRNAREA,Drainage Area,28.7,square miles,0.22,757
794,17-EMED-0.4,gc530,,,,DRNAREA,Drainage Area,28.7,square miles,0.1,706
795,17-EMED-0.4,gc531,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1.36,64
796,17-EMED-0.4,gc531,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,11.7,75.1
797,17-EMED-0.4,gc531,,,,BDF,Basin Development Factor,-999.99,dimensionless,0,7
798,17-EMED-0.4,gc879,,,,DRNAREA,Drainage Area,28.7,square miles,0.35,2287
799,17-EMED-0.4,gc879,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,0.4,20.1
800,17-EMED-0.4,gc879,,,,PRECIP,Mean Annual Precipitation,41.19,inches,47,67
801,17-EMED-0.4,gc880,,,,DRNAREA,Drainage Area,28.7,square miles,0.009,2947
802,17-EMED-0.4,gc880,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,0.85,247
803,17-EMED-0.4,gc880,,,,PRECIP,Mean Annual Precipitation,41.19,inches,42,65
804,17-EMED-0.4,gc881,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.11,1170
805,17-EMED-0.4,gc881,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,0.4,10.6
806,17-EMED-0.4,gc881,,,,LENGTH,Main Channel Length,-999.99,miles,0.5,269
807,17-EMED-0.4,gc1435,,,,DRNAREA,Drainage Area,28.7,square miles,0.93,1653
808,17-EMED-0.4,gc1435,,,,STORNWI,Percentage of Storage from NWI,-999.99,percent,0.7,26.7
809,17-EMED-0.4,gc1436,,,,DRNAREA,Drainage Area,28.7,square miles,0.93,1653
810,17-EMED-0.4,gc1632,,,,DRNAREA,Drainage Area,28.7,square miles,0.31,12
811,17-EMED-0.4,gc1632,,,,STORNWI,Percentage of Storage from NWI,-999.99,percent,0,22.2
812,17-EMED-0.4,gc1478,,,,DRNAREA,Drainage Area,28.7,square miles,0.91,113.7
813,17-EMED-0.4,gc1478,,,,SSURGOA,SSURGO Percent Hydrologic Soil Type A,-999.99,percent,0,78.8
814,17-EMED-0.4,gc1478,,,,BSLDEM10ff,Mean Basin Slope from 10m DEM ft per ft,-999.99,foot per foot,0.0025,0.016
815,17-EMED-0.4,gc1479,,,,DRNAREA,Drainage Area,28.7,square miles,0.41,349.6
816,17-EMED-0.4,gc1479,,,,SOILCorD,Percent SSURGO Soil Type C or D,-999.99,percent,13,74.7
817,17-EMED-0.4,gc1479,,,,IMPERV,Percent Impervious,-999.99,percent,0,36.8
818,17-EMED-0.4,gc1480,,,,DRNAREA,Drainage Area,28.7,square miles,0.11,820
819,17-EMED-0.4,gc1480,,,,LIME,Percent Limestone,-999.99,percent,0,81.7
820,17-EMED-0.4,gc1480,,,,FOREST_MD,Percent forest from MD 2010 land use,-999.99,percent,2.7,100
821,17-EMED-0.4,gc1482,,,,DRNAREA,Drainage Area,28.7,square miles,0.52,293.7
822,17-EMED-0.4,gc1482,,,,BSLDEM10ff,Mean Basin Slope from 10m DEM ft per ft,-999.99,foot per foot,0.06632,0.22653
823,17-EMED-0.4,gc1741,,,,DRNAREA,Drainage Area,28.7,square miles,0.16,512
824,17-EMED-0.4,gc1741,,,,ELEV,Mean Basin Elevation,-999.99,feet,80.6,1948
825,17-EMED-0.4,gc1741,,,,LC06STOR,Percent Storage from NLCD2006,-999.99,percent,0,32.3
826,17-EMED-0.4,gc106,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1,1000
827,17-EMED-0.4,gc106,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,0.5,60
828,17-EMED-0.4,gc106,,,,PLCHSWAMP,Percent Length of Main Channel Swamps,-999.99,percent,0,100
829,17-EMED-0.4,gc106,,,,SLENRAT,Slenderness Ratio,-999.99,dimensionless,2,25
830,17-EMED-0.4,gc106,,,,I24H100Y,24 Hour 100 Year Precipitation,-999.99,inches,3.5,5.3
831,17-EMED-0.4,gc106,,,,OUTWASH,Percent Outwash,-999.99,percent,0,100
832,17-EMED-0.4,gc106,,,,MUCK,Percent Peat and Muck,-999.99,percent,0,50
833,17-EMED-0.4,gc106,,,,MORTILL,End Moraines of Fine Textured Till,-999.99,percent,0,50
834,17-EMED-0.4,gc106,,,,MEDTILL,Percent Medium Till,-999.99,percent,0,100
835,17-EMED-0.4,gc106,,,,PCLAY,Percent Lacustrine Clay and Silt,-999.99,percent,0,75
836,17-EMED-0.4,gc106,,,,TILROCK,Percent Thin Till over Bedrock,-999.99,percent,0,100
837,17-EMED-0.4,gc106,,,,CRSTILL,Percent Coarse Till,-999.99,percent,0,100
838,17-EMED-0.4,gc107,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1,1000
839,17-EMED-0.4,gc107,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,0.5,60
840,17-EMED-0.4,gc107,,,,PLCHSWAMP,Percent Length of Main Channel Swamps,-999.99,percent,0,100
841,17-EMED-0.4,gc107,,,,SLENRAT,Slenderness Ratio,-999.99,dimensionless,2,25
842,17-EMED-0.4,gc107,,,,I24H100Y,24 Hour 100 Year Precipitation,-999.99,inches,3.5,5.3
843,17-EMED-0.4,gc107,,,,OUTWASH,Percent Outwash,-999.99,percent,0,100
844,17-EMED-0.4,gc107,,,,MUCK,Percent Peat and Muck,-999.99,percent,0,50
845,17-EMED-0.4,gc107,,,,MORTILL,End Moraines of Fine Textured Till,-999.99,percent,0,50
846,17-EMED-0.4,gc107,,,,MEDTILL,Percent Medium Till,-999.99,percent,0,100
847,17-EMED-0.4,gc107,,,,PCLAY,Percent Lacustrine Clay and Silt,-999.99,percent,0,75
848,17-EMED-0.4,gc107,,,,TILROCK,Percent Thin Till over Bedrock,-999.99,percent,0,100
849,17-EMED-0.4,gc107,,,,CRSTILL,Percent Coarse Till,-999.99,percent,0,100
850,17-EMED-0.4,gc108,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1,1000
851,17-EMED-0.4,gc108,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,0.5,60
852,17-EMED-0.4,gc108,,,,PLCHSWAMP,Percent Length of Main Channel Swamps,-999.99,percent,0,100
853,17-EMED-0.4,gc108,,,,SLENRAT,Slenderness Ratio,-999.99,dimensionless,2,25
854,17-EMED-0.4,gc108,,,,I24H100Y,24 Hour 100 Year Precipitation,-999.99,inches,3.5,5.3
855,17-EMED-0.4,gc108,,,,OUTWASH,Percent Outwash,-999.99,percent,0,100
856,17-EMED-0.4,gc108,,,,MUCK,Percent Peat and Muck,-999.99,percent,0,50
857,17-EMED-0.4,gc108,,,,MORTILL,End Moraines of Fine Textured Till,-999.99,percent,0,50
858,17-EMED-0.4,gc108,,,,MEDTILL,Percent Medium Till,-999.99,percent,0,100
859,17-EMED-0.4,gc108,,,,PCLAY,Percent Lacustrine Clay and Silt,-999.99,percent,0,75
860,17-EMED-0.4,gc108,,,,TILROCK,Percent Thin Till over Bedrock,-999.99,percent,0,100
861,17-EMED-0.4,gc108,,,,CRSTILL,Percent Coarse Till,-999.99,percent,0,100
862,17-EMED-0.4,gc109,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1,1000
863,17-EMED-0.4,gc109,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,0.5,60
864,17-EMED-0.4,gc109,,,,PLCHSWAMP,Percent Length of Main Channel Swamps,-999.99,percent,0,100
865,17-EMED-0.4,gc109,,,,SLENRAT,Slenderness Ratio,-999.99,dimensionless,2,25
866,17-EMED-0.4,gc109,,,,I24H100Y,24 Hour 100 Year Precipitation,-999.99,inches,3.5,5.3
867,17-EMED-0.4,gc109,,,,OUTWASH,Percent Outwash,-999.99,percent,0,100
868,17-EMED-0.4,gc109,,,,MUCK,Percent Peat and Muck,-999.99,percent,0,50
869,17-EMED-0.4,gc109,,,,MORTILL,End Moraines of Fine Textured Till,-999.99,percent,0,50
870,17-EMED-0.4,gc109,,,,MEDTILL,Percent Medium Till,-999.99,percent,0,100
871,17-EMED-0.4,gc109,,,,PCLAY,Percent Lacustrine Clay and Silt,-999.99,percent,0,75
872,17-EMED-0.4,gc109,,,,TILROCK,Percent Thin Till over Bedrock,-999.99,percent,0,100
873,17-EMED-0.4,gc109,,,,CRSTILL,Percent Coarse Till,-999.99,percent,0,100
874,17-EMED-0.4,gc110,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1,1000
875,17-EMED-0.4,gc110,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,0.5,60
876,17-EMED-0.4,gc110,,,,PLCHSWAMP,Percent Length of Main Channel Swamps,-999.99,percent,0,100
877,17-EMED-0.4,gc110,,,,SLENRAT,Slenderness Ratio,-999.99,dimensionless,2,25
878,17-EMED-0.4,gc110,,,,I24H100Y,24 Hour 100 Year Precipitation,-999.99,inches,3.5,5.3
879,17-EMED-0.4,gc110,,,,OUTWASH,Percent Outwash,-999.99,percent,0,100
880,17-EMED-0.4,gc110,,,,MUCK,Percent Peat and Muck,-999.99,percent,0,50
881,17-EMED-0.4,gc110,,,,MORTILL,End Moraines of Fine Textured Till,-999.99,percent,0,50
882,17-EMED-0.4,gc110,,,,MEDTILL,Percent Medium Till,-999.99,percent,0,100
883,17-EMED-0.4,gc110,,,,PCLAY,Percent Lacustrine Clay and Silt,-999.99,percent,0,75
884,17-EMED-0.4,gc110,,,,TILROCK,Percent Thin Till over Bedrock,-999.99,percent,0,100
885,17-EMED-0.4,gc110,,,,CRSTILL,Percent Coarse Till,-999.99,percent,0,100
886,17-EMED-0.4,gc1198,,,,DRNAREA,Drainage Area,28.7,square miles,2.81,1570
887,17-EMED-0.4,gc1198,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,1.74,37.4
888,17-EMED-0.4,gc1198,,,,LAKEAREA,Percent Lakes and Ponds,-999.99,percent,0,13
889,17-EMED-0.4,gc1199,,,,DRNAREA,Drainage Area,28.7,square miles,0.23,1700
890,17-EMED-0.4,gc1199,,,,LAKEAREA,Percent Lakes and Ponds,-999.99,percent,0,23.7
891,17-EMED-0.4,gc1199,,,,SOILA,Percent Hydrologic Soil Type A,-999.99,percent,0,54.5
892,17-EMED-0.4,gc1199,,,,GENRO,Generalized Runoff,-999.99,inches,3.03,12.24
893,17-EMED-0.4,gc1199,,,,LOGDA,Log of Drainage Area,-999.99,Log base 10,-0.6383,3.2305
894,17-EMED-0.4,gc1200,,,,DRNAREA,Drainage Area,28.7,square miles,0.21,607
895,17-EMED-0.4,gc1200,,,,LAKEAREA,Percent Lakes and Ponds,-999.99,percent,0,11.8
896,17-EMED-0.4,gc1201,,,,DRNAREA,Drainage Area,28.7,square miles,0.15,2640
897,17-EMED-0.4,gc1201,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,1.49,77.2
898,17-EMED-0.4,gc1201,,,,LAKEAREA,Percent Lakes and Ponds,-999.99,percent,0,14
899,17-EMED-0.4,gc1201,,,,GENRO,Generalized Runoff,-999.99,inches,2.15,7.8
900,17-EMED-0.4,gc1202,,,,DRNAREA,Drainage Area,28.7,square miles,0.09,1580
901,17-EMED-0.4,gc1202,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,4.04,117
902,17-EMED-0.4,gc1203,,,,DRNAREA,Drainage Area,28.7,square miles,0.06,1540
903,17-EMED-0.4,gc1203,,,,CSL10_85,Stream Slope 10 and 85 Method,12.89,feet per mi,4.64,229
904,17-EMED-0.4,gc1772,,,,DRNAREA,Drainage Area,28.7,square miles,1.41,612
905,17-EMED-0.4,gc1773,,,,DRNAREA,Drainage Area,28.7,square miles,0.15,1750
906,17-EMED-0.4,gc1774,,,,DRNAREA,Drainage Area,28.7,square miles,0.05,1010
907,17-EMED-0.4,gc1483,,,,DRNAREA,Drainage Area,28.7,square miles,0.11,8212.38
908,17-EMED-0.4,gc1483,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,2.25,26.59
909,17-EMED-0.4,gc1484,,,,DRNAREA,Drainage Area,28.7,square miles,0.17,4008.92
910,17-EMED-0.4,gc1484,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,2.04,26.89
911,17-EMED-0.4,gc1485,,,,DRNAREA,Drainage Area,28.7,square miles,2.12,2177.58
912,17-EMED-0.4,gc1486,,,,DRNAREA,Drainage Area,28.7,square miles,0.28,189
913,17-EMED-0.4,gc1486,,,,IMPNLCD01,Percent Impervious NLCD2001,-999.99,percent,2.3,46
914,17-EMED-0.4,gc774,,,,DRNAREA,Drainage Area,28.7,square miles,0.22,91557
915,17-EMED-0.4,gc774,,,,WACTCH,Width Of Active Channel,-999.99,feet,2,98
916,17-EMED-0.4,gc775,,,,DRNAREA,Drainage Area,28.7,square miles,0.22,91557
917,17-EMED-0.4,gc775,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,3.5,220
918,17-EMED-0.4,gc1679,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.11,2560
919,17-EMED-0.4,gc1679,,,,ET0306MOD,Mean_Monthly_EvapTrans_Mar_to_Jun_MODIS,-999.99,inches,0.9,1.57
920,17-EMED-0.4,gc1679,,,,SLOP30_30M,Slopes gt 30pct from 30m DEM,-999.99,percent,0,31.9
921,17-EMED-0.4,gc777,,,,DRNAREA,Drainage Area,28.7,square miles,0.11,34379
922,17-EMED-0.4,gc777,,,,WACTCH,Width Of Active Channel,-999.99,feet,1.5,51
923,17-EMED-0.4,gc778,,,,DRNAREA,Drainage Area,28.7,square miles,0.11,34379
924,17-EMED-0.4,gc778,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,2.8,59
925,17-EMED-0.4,gc1678,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.18,2750
926,17-EMED-0.4,gc1678,,,,EL5000,Percent_above_5000_ft,-999.99,percent,0,30.6
927,17-EMED-0.4,gc780,,,,DRNAREA,Drainage Area,28.7,square miles,0.25,24749
928,17-EMED-0.4,gc780,,,,WACTCH,Width Of Active Channel,-999.99,feet,1,290
929,17-EMED-0.4,gc781,,,,DRNAREA,Drainage Area,28.7,square miles,0.25,24749
930,17-EMED-0.4,gc781,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,4,325
931,17-EMED-0.4,gc1677,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.19,1240
932,17-EMED-0.4,gc1677,,,,PRECIP,Mean Annual Precipitation,-999.99,inches,10.1,23.4
933,17-EMED-0.4,gc783,,,,DRNAREA,Drainage Area,28.7,square miles,0.14,1548
934,17-EMED-0.4,gc783,,,,WACTCH,Width Of Active Channel,-999.99,feet,2.5,225
935,17-EMED-0.4,gc784,,,,DRNAREA,Drainage Area,28.7,square miles,0.14,1548
936,17-EMED-0.4,gc784,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,4.5,270
937,17-EMED-0.4,gc1768,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,2.43,1560
938,17-EMED-0.4,gc786,,,,DRNAREA,Drainage Area,28.7,square miles,0.14,40339
939,17-EMED-0.4,gc786,,,,WACTCH,Width Of Active Channel,-999.99,feet,1.5,225
940,17-EMED-0.4,gc787,,,,DRNAREA,Drainage Area,28.7,square miles,0.14,40339
941,17-EMED-0.4,gc787,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,3.8,280
942,17-EMED-0.4,gc1680,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.1,1970
943,17-EMED-0.4,gc1680,,,,FOREST,Percent Forest,-999.99,percent,0,57.7
944,17-EMED-0.4,gc1680,,,,ET0306MOD,Mean_Monthly_EvapTrans_Mar_to_Jun_MODIS,-999.99,inches,0.96,1.67
945,17-EMED-0.4,gc789,,,,DRNAREA,Drainage Area,28.7,square miles,0.39,17149
946,17-EMED-0.4,gc789,,,,WACTCH,Width Of Active Channel,-999.99,feet,1.8,223
947,17-EMED-0.4,gc790,,,,DRNAREA,Drainage Area,28.7,square miles,0.39,17149
948,17-EMED-0.4,gc790,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,3.5,260
949,17-EMED-0.4,gc1682,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.42,2480
950,17-EMED-0.4,gc1682,,,,EL6000,Percent above 6000 ft,-999.99,percent,0,100
951,17-EMED-0.4,gc792,,,,DRNAREA,Drainage Area,28.7,square miles,0.47,20722
952,17-EMED-0.4,gc792,,,,WACTCH,Width Of Active Channel,-999.99,feet,1,270
953,17-EMED-0.4,gc793,,,,DRNAREA,Drainage Area,28.7,square miles,0.47,20722
954,17-EMED-0.4,gc793,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,2.5,300
955,17-EMED-0.4,gc1681,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.39,2040
956,17-EMED-0.4,gc1681,,,,EL6000,Percent above 6000 ft,-999.99,percent,0,100
957,17-EMED-0.4,gc795,,,,DRNAREA,Drainage Area,28.7,square miles,0.86,21833
958,17-EMED-0.4,gc795,,,,WACTCH,Width Of Active Channel,-999.99,feet,3,260
959,17-EMED-0.4,gc796,,,,DRNAREA,Drainage Area,28.7,square miles,0.86,21833
960,17-EMED-0.4,gc796,,,,WBANKFULL,Width Of Bankfull Channel,-999.99,feet,5,300
961,17-EMED-0.4,gc1675,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.6,2470
962,17-EMED-0.4,gc1675,,,,PRECIP,Mean Annual Precipitation,-999.99,inches,14.6,62.1
963,17-EMED-0.4,gc1675,,,,FOREST,Percent Forest,-999.99,percent,20.4,99.1
964,17-EMED-0.4,gc141,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,8.6,6230
965,17-EMED-0.4,gc141,,,,PRECIP,Mean Annual Precipitation,-999.99,inches,15.12,26.09
966,17-EMED-0.4,gc141,,,,BSLOPCM,Mean Basin Slope ft per mi,-999.99,feet per mi,41,286
967,17-EMED-0.4,gc141,,,,WATCAP,Available Water Capacity,-999.99,inch per inch,0.07,0.17
968,17-EMED-0.4,gc141,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,4.41,28.22
969,17-EMED-0.4,gc142,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,8.6,1310
970,17-EMED-0.4,gc142,,,,PRECIP,Mean Annual Precipitation,-999.99,inches,16.39,26.09
971,17-EMED-0.4,gc142,,,,BSLOPCM,Mean Basin Slope ft per mi,-999.99,feet per mi,55.7,249
972,17-EMED-0.4,gc142,,,,DRNFREQ,Drainage Frequency,-999.99,1st-order streams per square mile,0.05,0.6
973,17-EMED-0.4,gc142,,,,WATCAP,Available Water Capacity,-999.99,inch per inch,0.08,0.15
974,17-EMED-0.4,gc142,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,5.6,19.4
975,17-EMED-0.4,gc143,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,0.61,2160
976,17-EMED-0.4,gc143,,,,PRECIP,Mean Annual Precipitation,-999.99,inches,14.19,24.69
977,17-EMED-0.4,gc143,,,,RELRELF,Relative Relief,-999.99,feet per mi,4.2,48.3
978,17-EMED-0.4,gc143,,,,LSTPERM,Least Permeable Layer Permeability,-999.99,inches per hour,0.1,5
979,17-EMED-0.4,gc143,,,,BSLOPCM,Mean Basin Slope ft per mi,-999.99,feet per mi,52.5,462
980,17-EMED-0.4,gc144,,,,DRNAREA,Drainage Area,28.7,square miles,1.5,6950
981,17-EMED-0.4,gc144,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,0.49,56.4
982,17-EMED-0.4,gc144,,,,LSTPERM,Least Permeable Layer Permeability,-999.99,inches per hour,0.38,5.56
983,17-EMED-0.4,gc144,,,,DRNFREQ,Drainage Frequency,-999.99,1st-order streams per square mile,0.01,1.33
984,17-EMED-0.4,gc145,,,,DRNAREA,Drainage Area,28.7,square miles,1.5,711
985,17-EMED-0.4,gc145,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,0.89,13
986,17-EMED-0.4,gc145,,,,RELRELF,Relative Relief,-999.99,feet per mi,2.72,21.4
987,17-EMED-0.4,gc145,,,,I24H2Y,24 Hour 2 Year Precipitation,-999.99,inches,2.35,2.55
988,17-EMED-0.4,gc146,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,1.55,1640
989,17-EMED-0.4,gc146,,,,BSLOPCM,Mean Basin Slope ft per mi,-999.99,feet per mi,12.8,315
990,17-EMED-0.4,gc146,,,,LSTPERM,Least Permeable Layer Permeability,-999.99,inches per hour,0.13,0.6
991,17-EMED-0.4,gc147,,,,CONTDA,Contributing Drainage Area,-999.99,square miles,6.78,4450
992,17-EMED-0.4,gc147,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,7.1,46.3
993,17-EMED-0.4,gc147,,,,COMPRAT,Compactness Ratio,-999.99,dimensionless,1.22,11.2
994,17-EMED-0.4,gc148,,,,DRNAREA,Drainage Area,28.7,square miles,2.03,4450
995,17-EMED-0.4,gc148,,,,AVMXSS,Average Maximum Soil Slope,-999.99,percent,1.9,14.5
996,17-EMED-0.4,gc148,,,,STRDEN,Stream Density,-999.99,miles per square mile,0.14,1.39
997,17-EMED-0.4,gc148,,,,I24H2Y,24 Hour 2 Year Precipitation,-999.99,inches,2.62,3.35
998,17-EMED-0.4,gc148,,,,BSHAPE,Basin Shape Factor,-999.99,dimensionless,0.13,7.6
999,17-EMED-0.4,gc160,,,,DRNAREA,Drainage Area,28.7,square miles,0.6,1060
1000,17-EMED-0.4,gc160,,,,PRECIP,Mean Annual Precipitation,41.19,inches,11,43
1001,17-EMED-0.4,gc161,,,,DRNAREA,Drainage Area,28.7,square miles,0.8,1680
1002,17-EMED-0.4,gc161,,,,ELEV,Mean Basin Elevation,-999.99,feet,3540,7950
1003,17-EMED-0.4,gc162,,,,DRNAREA,Drainage Area,28.7,square miles,2.2,1450
1004,17-EMED-0.4,gc162,,,,PRECIP,Mean Annual Precipitation,41.19,inches,10,41
1005,17-EMED-0.4,gc163,,,,DRNAREA,Drainage Area,28.7,square miles,4.1,360
1006,17-EMED-0.4,gc163,,,,ELEV,Mean Basin Elevation,-999.99,feet,5770,10500
1007,17-EMED-0.4,gc163,,,,LAT_GAGE,Latitude,-999.99,decimal degrees,36.44,39.5
1008,17-EMED-0.4,gc164,,,,DRNAREA,Drainage Area,28.7,square miles,0.2,210
1009,17-EMED-0.4,gc164,,,,ELEV,Mean Basin Elevation,-999.99,feet,4770,9960
1010,17-EMED-0.4,gc165,,,,DRNAREA,Drainage Area,28.7,square miles,0.1,1000
1011,17-EMED-0.4,gc1459,,,,DRNAREA,Drainage Area,28.7,square miles,0.7,1290
1012,17-EMED-0.4,gc1460,,,,DRNAREA,Drainage Area,28.7,square miles,0.7,1290
1013,17-EMED-0.4,gc1460,,,,APRAVPRE,Mean April Precipitation,-999.99,inches,2.79,6.23
1014,17-EMED-0.4,gc1460,,,,WETLAND,Percent Wetlands,-999.99,percent,0,21.8
1015,17-EMED-0.4,gc1460,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,5.43,543
1016,17-EMED-0.4,gc1255,,,,DRNAREA,Drainage Area,28.7,square miles,1.27,56.4
1017,17-EMED-0.4,gc1255,,,,STORAGE,Percent Storage,-999.99,percent,0.62,11.6
1018,17-EMED-0.4,gc1255,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,9.37,176
1019,17-EMED-0.4,gc1255,,,,POPDENS,Basin Population Density,-999.99,persons per square mile,645,13492
1020,17-EMED-0.4,gc1256,,,,DRNAREA,Drainage Area,28.7,square miles,0.41,118
1021,17-EMED-0.4,gc1256,,,,STORAGE,Percent Storage,-999.99,percent,1,41.1
1022,17-EMED-0.4,gc1256,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,2.49,55.5
1023,17-EMED-0.4,gc1256,,,,POPDENS,Basin Population Density,-999.99,persons per square mile,34,5382
1024,17-EMED-0.4,gc1257,,,,DRNAREA,Drainage Area,28.7,square miles,0.18,124
1025,17-EMED-0.4,gc1257,,,,STORAGE,Percent Storage,-999.99,percent,3.04,46.3
1026,17-EMED-0.4,gc1257,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,1.79,39.6
1027,17-EMED-0.4,gc1257,,,,POPDENS,Basin Population Density,-999.99,persons per square mile,6,1387
1028,17-EMED-0.4,gc1258,,,,DRNAREA,Drainage Area,28.7,square miles,0.25,779
1029,17-EMED-0.4,gc1258,,,,STORAGE,Percent Storage,-999.99,percent,0.23,32
1030,17-EMED-0.4,gc1258,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,4.31,191
1031,17-EMED-0.4,gc1258,,,,POPDENS,Basin Population Density,-999.99,persons per square mile,83,11084
1032,17-EMED-0.4,gc1259,,,,DRNAREA,Drainage Area,28.7,square miles,0.87,763
1033,17-EMED-0.4,gc1259,,,,STORAGE,Percent Storage,-999.99,percent,2.36,30.1
1034,17-EMED-0.4,gc1259,,,,CSL10_85,Stream Slope 10 and 85 Method,-999.99,feet per mi,2.56,268
1035,17-EMED-0.4,gc1259,,,,POPDENS,Basin Population Density,-999.99,persons per square mile,35,1493
1036,17-EMED-0.4,gc1079,,,,DRNAREA,Drainage Area,28.7,square miles,0.16,3660
1037,17-EMED-0.4,gc1079,,,,CELVBLUE,Average Channel Elevation,-999.99,feet,5310,9280
1038,17-EMED-0.4,gc1079,,,,I24H10Y,24 Hour 10 Year Precipitation,-999.99,inches,2.15,3
1039,17-EMED-0.4,gc1080,,,,DRNAREA,Drainage Area,28.7,square miles,0.36,2060
1040,17-EMED-0.4,gc1081,,,,DRNAREA,Drainage Area,28.7,square miles,0.63,2850
1041,17-EMED-0.4,gc1081,,,,ELEV,Mean Basin Elevation,-999.99,feet,7810,11400
