BASIN,LOCATION,RIVMILE,STATION,COLL_DATE,NAME,CREW,ARRIVETIME,WIDTH,DEPTH,CUR_SPD,TEMP,COND,DO,PERCENT_SAT,PH,CANOPY,SALINITY,SECCHI,EMBEDD,ROCK,RUBBLE,GRAVEL,SAND,SILT,CLAY,ALGAE_S,ALGAE_FIL,ALGAE_D,THICKNESS_D,MACRO,LGS_HAB_BNK,LGS_HAB_MAC,LGS_HAB_SNG,LGS_HAB_SUB,BOTTOM_TYPE,DOM_SUBSTRATE,WTRCLR_DRIVER,PHT_ID_UP,PHT_ID_DWN,EPHEM,PLECOP,TRICH,COLEOP,MEGALOP,ODONATA,CHIR,SIMUL,DECAPOD,GAMMAR,MOLLUSK,OLIGO,OTHERS,FIELD_WQA,HABITAT,NOTES,LANDUSE,SAMP,ORG_FOR_TOXICS,MICROTOX,HAB_PRESENT,PROJECT
01,MURD,29.7,,8/6/2015,,Heitzman Pratt,12:55:00 PM,2,0.1,40,18.47,532,10.02,110.5,8.24,95,,,50,10,30,40,10,10,,0,1,60,0,0,,,,,,,,14392988320043.jpg,14392988320044.jpg,1,0,0,0,1,0,1,0,1,0,0,0,,Poor,Low flow,,Residential,Sampled,0,1,,RIBS_Scr
01,PIPC,0.1,,8/6/2015,,Heitzman Pratt,8:34:00 AM,7,0.1,50,15.4,347.8,10.03,103.5,8.19,56,,,0,80,10,10,0,0,0,0,1,80,0,0,,,,,,,,14392988320045.jpg,14392988320046.jpg,,,,,,,,,,,,,,,,,Residential,Sampled,0,0,,RIBS_Scr
01,SHED,3.6,,8/6/2015,,Heitzman Pratt,11:47:00 AM,1,0.1,50,17.6,438,7.44,80.5,7.5,36,,,20,,10,60,20,10,,0,1,60,0,0,,,,,,,,14392988320049.jpg,14392988320050.jpg,1,0,1,1,0,1,1,0,1,0,0,0,Atherix tipulid,Good,Low flow,,Agricultural,Sampled,0,0,,RIBS_Scr
01,SPIG,0.7,,8/6/2015,,JL/JD,11:51:00 AM,3,0.18,75,15.3,419,10.6,105,7.83,98,,,10,5,70,20,5,,,0,0,40,1,,,,,,,,,14393100660045.jpg,14393100660046.jpg,1,1,1,1,0,0,1,1,0,0,0,0,Tipulidae,Very good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,STYB,0.1,,8/6/2015,,Duffy Mosher,11:47:00 AM,10,0.1,83,18.9,412,10.4,,8.3,54,,,30,10,60,10,5,15,,0,0,100,4,0,,,,,,,,14389704440043.jpg,14389704440044.jpg,1,1,1,0,1,0,1,0,1,0,0,0,,Good,Adequate,,Residential,Sampled,,0,,RIBS_Scr
01,TEEN,24.2,,8/6/2015,,Duffy Mosher,8:37:00 AM,10,0.1,83,16.9,476,9.6,,8.1,39,,,40,10,50,30,5,5,,0,1,100,2,0,,,,,,,,14389704440045.jpg,14389704440046.jpg,1,1,1,1,0,1,1,1,0,0,0,0,Tipulid,Good,Adequate,Gray color in water probably due to clay. Best site yet.,Agriculture Residential,Sampled,,0,,RIBS_Int
01,TONA,103.5,,8/6/2015,,Duffy Mosher,11:15:00 AM,1.5,0.3,38,15,487,10.2,101,8.1,100,,,,,,,,,,0,1,,,0,2,0,2,2,Soft,Silt,Turb,14389715920011.jpg,14389715920012.jpg,,,,,,,,,,,,,,,,"No macrophytes, many cobbles",Forest agriculture,Sampled,,,,RIBS_Scr
01,TONA_T39,0.4,,8/6/2015,,Heitzman Pratt,1:29:00 PM,4,0.2,10,18.6,831,10.8,119.7,8.19,24,,,40,,,50,30,20,,0,1,100,0,0,,,,,,,,14392988320055.jpg,14392988320056.jpg,1,1,1,1,0,0,1,0,1,0,0,1,,Good,Low flow,,Residential,Sampled,0,0,,RIBS_Scr
01,TONA,19.4,,9/16/2015,,Duffy Rickard,8:24:00 AM,9,0.4,80,16.89,752,10.68,109.2,8.01,65,,,40,10,40,35,10,5,,0,1,100,2,0,,,,,,,,14425026250001.jpg,14425026250002.jpg,1,0,1,1,0,1,1,0,1,1,1,0,,Poor,Adequate,High flow May not be prime habitat for sample,Residential and agricultural,Sampled,0,0,,RIBS_Scr
01,BUFC,37.8,,7/19/2016,,"LOPE, HEIT,ONION, REIGLE",2:00:00 PM,4,0.12,90,19.9,404.3,9.46,103.6,8.09,86,,0,5,0,30,30,10,0,30,0,1,50,1,,,,,,,,,14692051680003.jpg,14692051680004.jpg,1,1,1,1,1,0,1,0,1,0,0,0,,Good,Adequate,"(notes previously said ""net jab"", was incorrect)",Residential,Sampled,1,1,,RIBS_Scr
01,CLEA,0.1,,7/19/2016,,"LOPE, HEIT, ONION, REIGLE",12:40:00 PM,5,0.11,70,18.7,438.1,9.09,97.4,7.66,28,,0,12,2,22,70,6,0,0,0,1,50,1,0,,,,,,,,14692051680005.jpg,14692051680006.jpg,1,1,1,1,0,1,1,1,0,0,1,0,,Very good,Adequate,,Commercial,Sampled,1,1,,RIBS_Scr
01,SILV,0.3,,7/19/2016,,"Onion, lojps, heitzman, reigle",4:31:00 PM,2,0.09,110,28.4,431.4,8.37,107.8,8.51,39,,0,0,1,10,75,10,,4,1,1,40,1,0,,,,,,,,14692051680019.jpg,14692051680020.jpg,1,0,1,1,1,0,1,1,1,1,0,0,,Good,Adequate,,Commercial,Sampled,1,1,,RIBS_Scr
01,BOUR,0.4,,7/20/2016,,"LOPE, ONION, HEITZ",4:53:00 PM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,14692051680001.jpg,14692051680002.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Stagnant low water No sample,,Not Sampled,0,0,,RIBS_Scr
01,CRKB,2.1,,7/20/2016,,"Onion, lojps, heitzman, reigle",11:46:00 AM,2,0.09,50,20.6,632,6.55,72,7.51,63,,0,12,,30,50,,20,,1,0,80,1,0,,,,,,,,14692051680007.jpg,14692051680008.jpg,1,0,1,1,0,0,0,1,1,1,0,0,,Good,Adequate,,Residential,Sampled,1,1,,RIBS_Scr
01,CWAY,14.5,,7/20/2016,,"Onion, heitzman, lojpsb, reigle",2:30:00 PM,2,0.08,70,23,730.3,8.43,98,7.6,87,,0,30,,30,50,15,5,,1,1,80,1,0,,,,,,,,14692051680009.jpg,14692051680010.jpg,1,1,1,0,0,0,0,1,1,0,0,0,Other diptura,Good,Adequate,Took extra photos during fish id's,Forest,Sampled,1,1,,RIBS_Int
01,HYCK,0.9,,7/20/2016,,"LOPE, HEITZ, ONION, REIGLE",12:57:00 PM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,14692051680013.jpg,14692051680014.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,"Dry, one big puddle upstream No sample",,Not Sampled,0,0,,RIBS_Scr
01,PICR,1.3,,7/20/2016,,"LOPE, HEITZ, ONION, REIGLE",8:05:00 AM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,14692051680015.jpg,14692051680016.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Dry up & downstream with puddles at bridge,,Not Sampled,0,0,,RIBS_Int
01,VBUR,0.4,,7/20/2016,,"Heitzman, Lojps, Reigle, Onion",1:33:00 PM,1,0.1,,21.4,827,5.65,63,7.24,50,,0,50,0,10,35,35,15,5,1,1,90,3,0,2,1,0,2,Hard,Gravel,Turbidity,14692051680023.jpg,14692051680024.jpg,0,0,1,0,0,1,1,0,1,0,1,0,,Poor,Low flow,"No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.",Residential,Sampled,1,1,,RIBS_Scr
01,WLNT,8.2,,7/20/2016,,"Onion, lojp, heitzman, reigle,",9:04:00 AM,4,0.1,70,18.7,411.1,7.4,79.4,7.97,81,,0,15,,20,50,20,10,,1,1,30,1,0,,,,,,,,14692051680025.jpg,14692051680026.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,,Residential,Sampled,1,1,,RIBS_Scr
01,ELLI,10.3,,7/21/2016,,"LOPE, ONION, HEITZ",8:30:00 AM,4,0.2,75,20.2,1826,6.69,74.5,7.8,45,,0,25,,1,80,19,,,1,1,90,1,10,,,,,,,,14692051680011.jpg,14692051680012.jpg,0,0,1,1,0,1,1,0,1,0,1,1,,Poor,Adequate,Sewer overflow evident in. Sediment otherwise typical suburban creek drainage,Commercial,Sampled,1,1,,RIBS_Scr
01,RANS_T1,0.2,,7/21/2016,,"Lojpsberger, heitzman, onion",9:24:00 AM,1,0.1,60,19,1940,6.9,74.1,7.62,94,,0,50,,30,40,,30,,1,1,90,1,10,,,,,,,,14692051680017.jpg,14692051680018.jpg,0,0,1,1,0,1,0,1,1,0,1,0,,Very poor,Other,Sediment sample includes sediment that was next to a burried 55ga drum. We too separate photos of the buried drum. Nikki should wear gloves when handling this sample,Residential,Sampled,1,1,,RIBS_Scr
01,TONA,65.8,,7/21/2016,,"Onion, Heitzman, Lojpsberger",11:08:00 AM,5,0.2,80,22.1,676,6.43,73.8,7.59,0,,0,40,5,40,30,5,20,,1,1,90,1,20,,,,,,,,14692051680021.jpg,14692051680022.jpg,0,0,1,0,0,0,1,0,1,1,1,1,Planaria,Poor,Adequate,,Commercial,Sampled,1,1,,RIBS_Scr
02,ALGY,33.1,,8/30/2016,,"Lope, Heitz",5:15:00 PM,90,0.35,62,25.9,221,10.1,124,8.5,11,0.1,0,10,5,60,30,5,,,1,1,90,1,0,,,,,,,,14731747070003.jpg,14731747070004.jpg,1,0,1,1,0,1,1,0,0,0,1,0,Leeches,Good,Adequate,,Forest,Sampled,0,0,,RIBS_Scr
02,ALGY,37.4,,8/30/2016,,"Lope, Heitz",4:40:00 PM,90,0.3,50,27,216,11.6,146,9,3,0.1,0,15,40,40,18,2,,,1,1,90,1,10,,,,,,,,14731747070005.jpg,14731747070006.jpg,1,0,1,1,0,1,1,0,0,1,1,1,,Good,Adequate,,Commercial,Sampled,0,0,,RIBS_Scr
02,ALGY,42.0,,8/30/2016,,Duffy stieber,3:43:00 PM,75,0.2,70,25,130.4,8.9,113,8.1,2,,0,40,10,40,30,15,5,0,0,1,100,3,10,,,,,,,,14731790090001.jpg,14731790090002.jpg,1,1,1,1,0,0,1,0,0,1,1,0,,Good,Adequate,River miles seem off,Agriculture,Sampled,0,0,,RIBS_Scr
02,ALGY,44.5,,8/30/2016,,Duffy stieber,3:13:00 PM,75,0.2,100,25.3,118.3,9.3,118,7.7,15,,0,50,10,25,30,30,5,0,0,1,100,3,0,,,,,,,,14731790090003.jpg,14731790090004.jpg,1,0,1,1,0,0,1,0,1,0,1,0,,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,ALGY,49.5,,8/30/2016,,Duffy stieber,1:45:00 PM,60,0.1,75,23.9,111.6,7.8,97,7.3,8,0.05,0,60,0,10,45,40,5,0,0,1,100,3,10,,,,,,,,14731790090005.jpg,14731790090006.jpg,1,0,1,1,0,0,1,0,1,0,1,0,,Poor,Adequate,Lots of dead mussels,Agriculture,Sampled,0,1,,RIBS_Scr
02,BLHL,0.5,,8/30/2016,,"Lope, Heitz",3:28:00 PM,1,0.1,20,18.1,438,9.2,98,7.7,64,0.2,0,15,30,40,20,10,,,0,1,50,1,10,,,,,,,,14731747070011.jpg,14731747070012.jpg,1,1,1,1,0,0,1,0,1,0,0,0,Tipulids,Good,Low flow,,Forest,Sampled,0,0,,RIBS_Scr
02,CHIP,4.8,,8/30/2016,,Mosher smith,6:08:00 PM,1,0.1,58,21,182,7.4,82,7.1,100,0.1,0,25,5,60,20,10,5,,0,1,100,1,0,,,,,,,,14728238780005.jpg,14728238780006.jpg,1,1,1,0,0,0,1,0,1,0,0,0,,Good,Adequate,Nice site,Forest,Sampled,0,0,,RIBS_Scr
02,CLER,1.3,,8/30/2016,,Duffy stieber,5:28:00 PM,4,0.1,70,19.4,276.5,10.6,120,7.8,42,,0,40,0,20,70,10,0,0,0,1,100,3,10,,,,,,,,14731790090017.jpg,14731790090018.jpg,1,1,1,0,0,0,1,0,0,0,0,0,Tipulidae,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,CLER,1.8,,8/30/2016,,Duffy stieber,5:43:00 PM,4,0.1,50,17.9,314.5,8.4,93,7.4,0,,0,50,5,45,40,10,0,0,0,1,100,2,10,,,,,,,,14731790090019.jpg,14731790090020.jpg,1,1,1,1,0,0,1,1,0,0,0,0,"Hemiptera, Tipulidae",Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,DODG,0.3,,8/30/2016,,Duffy stieber,2:21:00 PM,10,0.1,60,29.5,203.6,9.4,130,8.9,0,,0,20,5,40,40,10,5,0,0,1,100,3,0,,,,,,,,14731790090023.jpg,14731790090024.jpg,1,0,1,1,0,0,1,0,1,0,0,0,Athericidae,Poor,Adequate,"Berms surrounding stream, heavy human influence",Agriculture,Sampled,0,0,,RIBS_Scr
02,ELMC,4.2,,8/30/2016,,Duffy stieber,4:54:00 PM,3,0.1,50,22.9,232.6,7.9,96,8,85,,0,40,15,40,30,10,5,0,0,0,100,3,0,,,,,,,,14731790090027.jpg,14731790090028.jpg,1,1,1,1,0,1,1,0,1,0,0,1,Athericidae,Good,Adequate,,Forest,Sampled,0,0,,RIBS_Scr
02,FARW,0.1,,8/30/2016,,Mosher smith,1:39:00 PM,0.5,0.1,31,17.3,192.7,5.5,56,6.8,59,0.1,0,26,10,50,30,5,5,,0,0,50,2,0,,,,,,,,14728238780007.jpg,14728238780008.jpg,0,1,0,0,0,1,1,0,1,0,0,0,Hemip,,Low flow,"""Water very low, strange mix of bugs""",Agriculture,Sampled,0,0,,RIBS_Scr
02,FIVE_T,1.0,,8/30/2016,,"Lope, Heitz",2:12:00 PM,1,0.1,30,21,154,8.9,100,8,80,0.07,0,10,10,50,35,5,,,0,1,80,0,10,,,,,,,,14731747070017.jpg,14731747070018.jpg,1,1,1,1,0,0,1,0,1,0,0,1,Sowbugs,Good,Low flow,,Forest,Sampled,0,0,,RIBS_Scr
02,FLYA,1.2,,8/30/2016,,Duffy stieber,6:05:00 PM,1,0.1,50,21.4,331.7,7,81,7.8,95,,0,40,0,45,45,10,0,0,0,0,100,1,0,,,,,,,,14731790090029.jpg,14731790090030.jpg,1,1,1,1,0,0,1,0,1,0,0,0,,Good,Adequate,,Agriculture,Sampled,0,1,,RIBS_Scr
02,FORA,3.2,,8/30/2016,,Mosher smith,5:39:00 PM,2,0.1,66,22,290,7.2,82,7.3,56,0.1,0,50,5,50,30,10,5,0,0,1,100,1,0,,,,,,,,14728238780009.jpg,14728238780010.jpg,1,0,1,1,1,0,1,0,1,0,0,0,,Good,Adequate,"""Oiled bridge, slight sheen on water when kicked""",Forest,Sampled,0,0,,RIBS_Scr
02,FORA,3.9,,8/30/2016,,Mosher smith,5:48:00 PM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Dry,,Not sampled,0,0,,RIBS_Scr
02,GVAL,12.3,,8/30/2016,,Mosher smith,3:38:00 PM,20,0.2,53,24.8,312,9.2,111,8.2,58,0.2,0,30,5,40,50,,5,,0,1,100,1,0,,,,,,,,14728238780013.jpg,14728238780014.jpg,1,0,0,1,0,0,1,0,1,0,0,1,,,Adequate,Metal and concrete channel is some parts up and down stream,Residential,Sampled,0,0,,RIBS_Scr
02,ISCH,0.9,,8/30/2016,,"Lope, Heitz",1:26:00 PM,10,0.25,75,24.8,381,12.8,104,8.6,81,,0,20,20,50,25,5,,,0,1,90,1,0,,,,,,,,14731747070021.jpg,14731747070022.jpg,1,1,1,1,0,0,1,0,1,0,1,1,Leeches,Good,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
02,ISCH,13.8,,8/30/2016,,Mosher smith,2:14:00 PM,10,0.2,58,19.7,558,7.9,86,7.3,68,0.2,0,25,10,20,60,5,5,,0,0,100,1,30,,,,,,,,14728238780015.jpg,14728238780016.jpg,1,1,1,1,1,0,1,0,1,0,0,1,,Good,Adequate,"Large nasty fish, mucky weedy depositional area , but gravel riffle",Residential,Sampled,0,1,,RIBS_Scr
02,ISCH,20.4,,8/30/2016,,Mosher smith,2:51:00 PM,8,0.1,66,24.1,430,11.6,137,8.5,74,0.2,0,25,0,10,80,5,5,0,0,0,70,2,20,,,,,,,,14728238780017.jpg,14728238780018.jpg,1,1,1,1,0,0,1,0,1,0,1,1,,Good,Adequate,"Not bad, monarch caterpillars, huge ass muskie",Industrial,Sampled,0,0,,RIBS_Scr
02,LGEN,3.6,,8/30/2016,,Duffy stieber,1:09:00 PM,3,0.1,35,23.9,345,9.4,118,7.7,0,,0,25,0,25,60,10,5,0,0,1,100,3,10,,,,,,,,14731790090031.jpg,14731790090032.jpg,1,0,1,1,0,0,1,0,1,0,0,1,Athericidae,Poor,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,LGEN,6.2,,8/30/2016,,Duffy stieber,12:35:00 PM,4,0.1,60,20.3,387.2,10.9,127,8.1,42,0.19,0,25,0,25,60,10,5,0,0,1,100,3,0,,,,,,,,14731790090033.jpg,14731790090034.jpg,1,1,1,1,1,1,1,1,1,0,0,1,Athericidae,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,LGEN,7.0,,8/30/2016,,Duffy stieber,12:02:00 PM,2,0.1,40,20.1,299.5,7.7,90,7.6,83,0.14,0,25,0,20,65,10,5,0,0,1,100,3,10,,,,,,,,14731790090035.jpg,14731790090036.jpg,1,1,1,0,1,1,1,0,0,0,0,0,Tipulidae,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,NICH,3.4,,8/30/2016,,Mosher smith,6:40:00 PM,0.75,0.1,30,21,476,7,79,7.3,7,0.2,0,25,5,40,50,5,0,0,0,1,100,1,0,,,,,,,,14728238780027.jpg,14728238780028.jpg,1,0,1,1,0,1,1,0,1,0,0,0,,Good,Adequate,"Tiny, reeks of gas",Residential,Sampled,0,1,,RIBS_Scr
02,NINA,4.5,,8/30/2016,,"Lope, Heitz",5:44:00 PM,2,0.1,30,19.7,58,8.5,93,7.3,81,0.03,0,15,30,40,25,5,,,0,0,70,0,0,,,,,,,,14731747070025.jpg,14731747070026.jpg,1,1,1,1,0,1,1,0,0,0,0,1,,Very good,Low flow,,Forest,Sampled,0,0,,RIBS_Scr
02,NINA_T,0.9,,8/30/2016,,"Lope, Heitz",6:11:00 PM,3,0.1,40,17.2,47,9.1,94,7.4,96,0.02,0,15,45,30,15,10,,,0,0,40,0,0,,,,,,,,14731747070027.jpg,14731747070028.jpg,1,1,1,1,0,1,1,0,0,0,0,0,,Very good,Adequate,,Forest,Sampled,0,0,,RIBS_Scr
02,OIL,5.8,,8/30/2016,,Mosher smith,12:36:00 PM,1.5,0.1,,22,795,7.9,90.9,7.2,38,0.4,0,25,0,5,85,,10,0,1,0,100,3,0,,,,,,,,14728238780031.jpg,14728238780032.jpg,1,1,1,1,0,1,1,0,0,0,0,0,,Good,Adequate,Surprisingly good bugs,Forest,Sampled,0,0,,RIBS_Scr
02,OLEA,1.0,,8/30/2016,,"Lope, Heitz",3:55:00 PM,25,0.2,30,28.1,460,12.3,158,8.6,0,0.22,0,40,30,40,20,5,5,,1,1,70,0,40,,,,,,,,14731747070029.jpg,14731747070030.jpg,1,0,1,1,0,1,1,0,0,1,1,0,Sowbugs,Poor,Low flow,,Residential,Sampled,0,1,,RIBS_Scr
02,OLEA,3.9,,8/30/2016,,"Lope, Heitz",2:55:00 PM,15,0.2,50,23.9,494,9.4,112,8.1,61,0.24,0,15,10,40,40,10,,,0,1,90,1,0,,,,,,,,14731747070031.jpg,14731747070032.jpg,1,1,1,1,1,0,1,0,0,0,1,0,,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,RAWS,0.8,,8/30/2016,,Mosher smith,1:06:00 PM,4,0.2,0,23.4,304,5.3,62,7.1,4,0.1,0,30,0,50,20,10,20,,1,0,60,2,30,2,2,2,2,Hard,Gravel,DOC,14728238780037.jpg,14728238780038.jpg,1,0,0,1,1,1,0,0,1,0,1,0,Hemipterans,,Low flow,"Sheen on water, water scorpion, hard bottom",Forest,Sampled,0,1,,RIBS_Scr
02,TWOA,2.0,,8/30/2016,,Mosher smith,5:07:00 PM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Dry, microtox taken from puddle, landowner has concerns about oil and logging upstream, will investigate, multiple oil pumps upstream",,Not sampled,0,0,,RIBS_Scr
02,WRGT,3.2,,8/30/2016,,Mosher smith,4:12:00 PM,8,0.1,77,27.3,181,8.7,110,8.3,0,0.1,0,25,0,30,50,5,15,0,0,1,100,1,0,,,,,,,,14728238780045.jpg,14728238780046.jpg,1,1,1,1,0,1,1,0,0,0,0,0,Pteronarcys,Very good,Adequate,Sampled one of two braids,Agriculture,Sampled,0,0,,RIBS_Scr
02,ALGY,28.6,,8/31/2016,,"Lope, Heitz",9:25:00 AM,40,0.2,45,23.1,219,7.2,84,7.6,8,0.1,0,15,,10,60,30,,,1,1,60,1,10,,,,,,,,14731747070001.jpg,14731747070002.jpg,1,1,1,1,0,1,1,0,0,0,1,0,,Good,Adequate,,Forest,Sampled,0,0,,RIBS_Scr
02,BEMS,0.3,,8/31/2016,,Duffy stieber,8:33:00 AM,4,0.1,30,16.6,510,6.9,74,7.8,70,,0,35,0,25,60,15,0,0,0,0,100,3,0,,,,,,,,14731790090007.jpg,14731790090008.jpg,1,0,0,1,0,0,1,0,0,1,0,1,"Isopoda, Athericidae, Ceratopogonidae, Tipulidae, Hirudinea",Poor,Adequate,,Residential,Sampled,0,1,,RIBS_Scr
02,BEMS,4.4,,8/31/2016,,Duffy stieber,8:15:00 AM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Not sampled, dry",,Not Sampled,0,0,,RIBS_Scr
02,BHUT,0.2,,8/31/2016,,"Lope, Heitz",10:25:00 AM,1.5,0.1,40,16.9,57,7.9,81,7.2,68,0.03,0,10,30,40,25,5,,,0,1,80,1,30,,,,,,,,14731747070007.jpg,14731747070008.jpg,1,1,1,1,0,0,1,0,0,0,0,0,Pteronarcys,Very good,Low flow,,Forest,Sampled,0,0,,RIBS_Scr
02,BLBA,0.4,,8/31/2016,,"Lope, Heitz",1:52:00 PM,5,1,,21.1,387,4.7,52,7.4,18,,0,,,,,,,,1,0,,,50,2,2,2,2,Hard,Gravel,Turbidity,14731747070009.jpg,14731747070010.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Low gradient,Agriculture,Sampled,0,0,,RIBS_Scr
02,BRLO_T2,1.0,,8/31/2016,,Duffy stieber,10:36:00 AM,1,0.1,30,17.3,121,8.1,88,7.7,65,,0,50,25,30,35,10,0,0,0,0,100,1,0,,,,,,,,14731790090039.jpg,14731790090040.jpg,1,1,1,0,0,0,1,0,1,0,0,0,,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,CASS,12.5,,8/31/2016,,Mosher smith,12:35:00 PM,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Riffle is gone, slow deep river now. Did not collect a sample becuase I did not want to create an orphaned sample type....i.e. Collect a low gradient sample when the historical record has been kicks. We need to consider an alternate long term station for",,Not sampled,0,0,,RIBS_Scr
02,CASS,25.6,,8/31/2016,,Duffy stieber,12:21:00 PM,10,1,5,22.3,284,4.5,55,7.5,8.5,,0,,,,,,,,1,0,,,20,2,2,2,2,Soft,Silt,Turbidity,14731790090011.jpg,14731790090012.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,,Low gradient sample,Agriculture,Sampled,0,0,,RIBS_Scr
02,CASS,33.3,,8/31/2016,,Duffy stieber,11:47:00 AM,4,1,0,18.5,401,3.7,40,7.7,16,,0,,,,,,,,1,0,,,10,2,2,2,2,Soft,Silt,Turbidity,14731790090013.jpg,14731790090014.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,,Low gradient site,Agriculture,Sampled,0,0,,RIBS_Scr
02,CEDS,3.0,,8/31/2016,,Duffy stieber,12:57:00 PM,1,0.1,20,18.5,859,5.7,65,7.7,60,,0,40,20,20,40,20,,0,0,0,100,1,0,,,,,,,,14731790090015.jpg,14731790090016.jpg,0,0,1,1,0,1,1,0,0,0,0,1,Hemiptera,Good,Low flow,"Tiny, trickling, overgrown with vegetation",Agriculture,Sampled,0,0,,RIBS_Scr
02,CHAD,2.2,,8/31/2016,,Mosher smith,12:36:00 PM,30,0.3,120,23,307,6.4,75,7.5,43,0.2,0,50,0,75,20,0,5,0,0,1,100,2,0,,,,,,,,14728238780003.jpg,14728238780004.jpg,1,0,1,1,0,0,1,0,0,0,0,0,,,,,Commercial,Sampled,0,0,,RIBS_Scr
02,CLER,5.3,,8/31/2016,,"Lope, Heitz",5:12:00 PM,7,0.15,62,17.9,275,8.9,94,7.6,44,0.13,0,25,30,40,20,5,5,,0,1,90,2,10,,,,,,,,14731747070013.jpg,14731747070014.jpg,1,1,1,1,0,1,1,0,0,0,0,0,,,Adequate,,Agriculture,Sampled,0,1,,RIBS_Scr
02,CLER,8.6,,8/31/2016,,Duffy stieber,1:18:00 PM,5,0.1,40,13.7,291.1,11.4,116,8.3,62,,0,50,15,30,40,15,0,0,0,0,100,1,0,,,,,,,,14731790090021.jpg,14731790090022.jpg,1,0,1,1,0,0,1,0,0,0,0,0,"Tipulidae, Athericidae",Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
02,CRLT,0.2,,8/31/2016,,"Lope, Heitz",8:18:00 AM,2,0.1,40,16.3,59,8.1,82,6.9,63,0.03,0,10,10,60,25,5,,,0,1,100,2,0,,,,,,,,14731747070015.jpg,14731747070016.jpg,1,1,1,1,1,0,1,1,1,0,0,0,,Very good,Adequate,,Forest,Sampled,0,0,,RIBS_Scr
02,DWIT_T,2.1,,8/31/2016,,Duffy stieber,,,,,,,,,,,,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Not sampled- dry,,Not Sampled,0,0,,RIBS_Scr
02,ENSH,0.4,,8/31/2016,,Mosher smith,10:21:00 AM,2,0.1,19,17.1,83,7.9,82,6.6,94,0,0,20,60,20,15,5,0,0,0,0,100,1,0,,,,,,,,14728238780029.jpg,14728238780030.jpg,1,1,1,0,0,0,1,0,1,0,0,0,,,Adequate,"Very nice, maybe a little low",Forest,Sampled,0,0,,RIBS_Scr
02,HARI,3.1,,8/31/2016,,"Lope, Heitz",4:48:00 PM,1,0.1,30,17.7,201,7.7,80.1,7.6,96,0.1,0,30,20,30,20,30,,,0,0,20,1,0,,,,,,,,14731747070019.jpg,14731747070020.jpg,1,1,1,1,0,1,1,0,1,0,0,0,,Very good,Low flow,,Forest,Sampled,0,0,,RIBS_Scr
02,KISS,1.0,,8/31/2016,,Mosher smith,11:20:00 AM,5,0.1,55,18.3,75,6.7,71,6.9,0,0,0,25,0,45,45,10,0,0,0,1,100,3,0,,,,,,,,14728238780019.jpg,14728238780020.jpg,1,1,1,0,0,0,1,0,1,0,0,0,,Good,Adequate,Small sample,Wetland,Sampled,0,0,,RIBS_Scr
02,LEON,1.8,,8/31/2016,,Mosher smith,9:13:00 AM,1,0.1,55,17.8,255,6,63,7.2,79,0.1,0,25,5,60,30,0,5,0,0,1,100,2,0,,,,,,,,14728238780021.jpg,14728238780022.jpg,1,1,1,0,1,1,1,1,1,0,0,0,,,Adequate,"Small, construction on left side",Residential,Sampled,0,0,,RIBS_Scr
