row_index,instance_id,EVENT_SMAS_ID,MFDH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVERMILE,MFDH_EVENT_SMAS_SAMPLE_DATE,MFDH_BIOSAMPLE_COLLECT_METHOD,MFDH_BIOSAMP_COL_METHOD_NOTE,MFDH_EPHEMEROPTERA,MFDH_PLECOPTERA,MFDH_TRICHOPTERA,MFDH_COLEOPTERA,MFDH_MEGALOPTERA,MFDH_ODONATA,MFDH_CHIRONOMIDAE,MFDH_SIMULIIDAE,MFDH_DECAPODS,MFDH_GAMMARIDAE,MFDH_MOLLUSCA,MFDH_OLIGOCHAETA,MFDH_TIPULIDAE,MFDH_OTHERS,MFDH_OTHER,MFDH_FIELD_WATER_QLTY,MFDH_HABITAT,MFDH_LGS_HABITAT_BANK,MFDH_LGS_HABITAT_MACROPHYTE,MFDH_LGS_HABITAT_SNAG,MFDH_LGS_HABITAT_SUBSTRATE,MFDH_BOTTOM_TYPE,MFDH_DOMINANT_SUBSTRATE,MFDH_WATER_CLARITY_DRIVER,MFDH_MACRO_COMMENT
1296,08-BLCK-84.5_19910806_1296,08-BLCK-84.5_19910806,08-BLCK-84.5,08,BLCK,84.5,08/06/1991,Unknown,,T,T,T,F,T,F,T,F,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1297,08-KLSY-0.1_19910806_1297,08-KLSY-0.1_19910806,08-KLSY-0.1,08,KLSY,0.1,08/06/1991,Unknown,,F,F,F,F,F,T,T,F,T,F,F,F,F,T,X,Very_poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1298,08-KLSY-0.5_19910806_1298,08-KLSY-0.5_19910806,08-KLSY-0.5,08,KLSY,0.5,08/06/1991,Unknown,,F,F,F,F,F,F,T,F,T,T,T,F,F,F,,Very_poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1299,08-KLSY-2.0_19910806_1299,08-KLSY-2.0_19910806,08-KLSY-2.0,08,KLSY,2.0,08/06/1991,Unknown,,F,F,T,T,F,T,T,F,T,T,T,F,F,T,X,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1300,09-GRAS-4.9_19910807_1300,09-GRAS-4.9_19910807,09-GRAS-4.9,09,GRAS,4.9,08/07/1991,Unknown,,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1301,09-STLW-8.3_19910807_1301,09-STLW-8.3_19910807,09-STLW-8.3,09,STLW,8.3,08/07/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1302,09-STLW-50.9_19910807_1302,09-STLW-50.9_19910807,09-STLW-50.9,09,STLW,50.9,08/07/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1303,06-DILA-5.4_19910821_1303,06-DILA-5.4_19910821,06-DILA-5.4,06,DILA,5.4,08/21/1991,Unknown,,T,T,T,T,F,F,T,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1304,06-NANG-0.7_19910821_1304,06-NANG-0.7_19910821,06-NANG-0.7,06,NANG,0.7,08/21/1991,Unknown,,T,F,F,T,F,F,T,F,F,F,F,T,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1305,06-USSQ-121.9_19910821_1305,06-USSQ-121.9_19910821,06-USSQ-121.9,06,USSQ,121.9,08/21/1991,Unknown,,T,F,F,T,T,F,T,F,T,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1306,06-USSQ-154.7_19910821_1306,06-USSQ-154.7_19910821,06-USSQ-154.7,06,USSQ,154.7,08/21/1991,Unknown,,T,F,T,T,F,F,T,F,T,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1307,06-USSQ-155.2_19910821_1307,06-USSQ-155.2_19910821,06-USSQ-155.2,06,USSQ,155.2,08/21/1991,Unknown,,T,T,T,T,T,F,T,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1308,06-USSQ-156.9_19910821_1308,06-USSQ-156.9_19910821,06-USSQ-156.9,06,USSQ,156.9,08/21/1991,Unknown,,F,F,T,F,T,T,T,T,T,F,F,F,F,F,,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1309,06-USSQ-158.7_19910821_1309,06-USSQ-158.7_19910821,06-USSQ-158.7,06,USSQ,158.7,08/21/1991,Unknown,,T,F,T,T,T,F,F,F,T,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1310,06-USSQ-159.2_19910821_1310,06-USSQ-159.2_19910821,06-USSQ-159.2,06,USSQ,159.2,08/21/1991,Unknown,,T,F,T,F,F,T,T,T,T,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1311,06-APAL-0.1_19910822_1311,06-APAL-0.1_19910822,06-APAL-0.1,06,APAL,0.1,08/22/1991,Unknown,,F,F,F,T,F,F,T,T,F,F,F,F,F,F,,Very_poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1312,06-APAL-0.2_19910822_1312,06-APAL-0.2_19910822,06-APAL-0.2,06,APAL,0.2,08/22/1991,Unknown,,T,F,T,T,F,F,T,F,F,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1313,05-CHEM-5.4_19910822_1313,05-CHEM-5.4_19910822,05-CHEM-5.4,05,CHEM,5.4,08/22/1991,Unknown,,T,F,T,T,T,F,T,F,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1314,05-COHO-5.9_19910822_1314,05-COHO-5.9_19910822,05-COHO-5.9,05,COHO,5.9,08/22/1991,Unknown,,T,F,T,F,T,F,T,T,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1315,05-NEWT-0.3_19910822_1315,05-NEWT-0.3_19910822,05-NEWT-0.3,05,NEWT,0.3,08/22/1991,Unknown,,T,F,T,T,T,F,T,F,T,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1316,06-SUSQ-6.9_19910822_1316,06-SUSQ-6.9_19910822,06-SUSQ-6.9,06,SUSQ,6.9,08/22/1991,Not_Sampled,,T,T,T,T,T,F,T,T,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1317,06-SUSQ-15.0_19910822_1317,06-SUSQ-15.0_19910822,06-SUSQ-15.0,06,SUSQ,15.0,08/22/1991,Not_Sampled,,T,F,T,T,F,F,T,T,T,F,F,T,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1318,06-SUSQ-25.2_19910822_1318,06-SUSQ-25.2_19910822,06-SUSQ-25.2,06,SUSQ,25.2,08/22/1991,Unknown,,T,F,T,T,F,T,T,F,F,T,F,F,F,T,X,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1319,05-TOGA-10.7_19910822_1319,05-TOGA-10.7_19910822,05-TOGA-10.7,05,TOGA,10.7,08/22/1991,Unknown,,T,F,T,F,T,F,F,F,F,F,F,F,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1320,13-ESOP-4.4_19910829_1320,13-ESOP-4.4_19910829,13-ESOP-4.4,13,ESOP,4.4,08/29/1991,Unknown,,T,F,T,T,F,F,T,F,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1321,13-FISH-1.6_19910829_1321,13-FISH-1.6_19910829,13-FISH-1.6,13,FISH,1.6,08/29/1991,Unknown,,T,T,T,F,T,F,T,F,F,T,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1322,13-FISH-6.7_19910829_1322,13-FISH-6.7_19910829,13-FISH-6.7,13,FISH,6.7,08/29/1991,Unknown,,T,T,T,F,T,F,T,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1323,13-FISH-16.3_19910829_1323,13-FISH-16.3_19910829,13-FISH-16.3,13,FISH,16.3,08/29/1991,Unknown,,T,F,T,T,T,F,F,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1324,13-FISH_T22-0.2_19910829_1324,13-FISH_T22-0.2_19910829,13-FISH_T22-0.2,13,FISH_T22,0.2,08/29/1991,Unknown,,T,T,T,T,T,F,T,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1325,13-ROLF-25.6_19910829_1325,13-ROLF-25.6_19910829,13-ROLF-25.6,13,ROLF,25.6,08/29/1991,Unknown,,T,T,T,T,T,F,T,F,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1326,13-ROLF-28.0_19910829_1326,13-ROLF-28.0_19910829,13-ROLF-28.0,13,ROLF,28.0,08/29/1991,Unknown,,T,T,T,T,F,F,T,F,F,F,F,T,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1327,13-ROLF-31.6_19910829_1327,13-ROLF-31.6_19910829,13-ROLF-31.6,13,ROLF,31.6,08/29/1991,Unknown,,T,T,T,F,T,F,F,F,T,T,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1328,13-WALK-13.3_19910829_1328,13-WALK-13.3_19910829,13-WALK-13.3,13,WALK,13.3,08/29/1991,Unknown,,T,F,T,T,T,F,T,T,T,F,F,F,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1329,13-LHUD-67.3_19910903_1329,13-LHUD-67.3_19910903,13-LHUD-67.3,13,LHUD,67.3,09/03/1991,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1330,13-LHUD-89.3_19910903_1330,13-LHUD-89.3_19910903,13-LHUD-89.3,13,LHUD,89.3,09/03/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1331,13-LHUD-104.6_19910903_1331,13-LHUD-104.6_19910903,13-LHUD-104.6,13,LHUD,104.6,09/03/1991,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1332,13-LHUD-119.6_19910903_1332,13-LHUD-119.6_19910903,13-LHUD-119.6,13,LHUD,119.6,09/03/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1333,13-LHUD-124.1_19910903_1333,13-LHUD-124.1_19910903,13-LHUD-124.1,13,LHUD,124.1,09/03/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1334,13-LHUD-133.4_19910904_1334,13-LHUD-133.4_19910904,13-LHUD-133.4,13,LHUD,133.4,09/04/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1335,06-TOGH-29.8_19910905_1335,06-TOGH-29.8_19910905,06-TOGH-29.8,06,TOGH,29.8,09/05/1991,Unknown,,T,F,T,T,F,T,T,T,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1336,06-TOGH-32.8_19910905_1336,06-TOGH-32.8_19910905,06-TOGH-32.8,06,TOGH,32.8,09/05/1991,Unknown,,T,F,T,T,F,F,T,F,F,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1337,06-TOGH_W-2.1_19910905_1337,06-TOGH_W-2.1_19910905,06-TOGH_W-2.1,06,TOGH_W,2.1,09/05/1991,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1338,06-TOGH_W-4.3_19910905_1338,06-TOGH_W-4.3_19910905,06-TOGH_W-4.3,06,TOGH_W,4.3,09/05/1991,Not_Sampled,,F,T,F,F,F,F,F,F,T,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1339,06-USSQ-79.0_19910905_1339,06-USSQ-79.0_19910905,06-USSQ-79.0,06,USSQ,79.0,09/05/1991,Unknown,,T,T,T,T,T,T,T,F,F,F,F,T,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1340,05-CDEA-1.8_19910906_1340,05-CDEA-1.8_19910906,05-CDEA-1.8,05,CDEA,1.8,09/06/1991,Unknown,,T,F,T,F,F,T,T,F,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1341,05-STEO-9.7_19910906_1341,05-STEO-9.7_19910906,05-STEO-9.7,05,STEO,9.7,09/06/1991,Unknown,,T,T,T,T,T,T,T,T,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1342,08-BEEV-0.8_19910912_1342,08-BEEV-0.8_19910912,08-BEEV-0.8,08,BEEV,0.8,09/12/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1343,08-BLCK-1.2_19910912_1343,08-BLCK-1.2_19910912,08-BLCK-1.2,08,BLCK,1.2,09/12/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1344,08-BLCK-69.6_19910912_1344,08-BLCK-69.6_19910912,08-BLCK-69.6,08,BLCK,69.6,09/12/1991,Unknown,,T,T,T,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1345,09-GRAS-4.9_19910912_1345,09-GRAS-4.9_19910912,09-GRAS-4.9,09,GRAS,4.9,09/12/1991,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1346,08-MILB-0.6_19910912_1346,08-MILB-0.6_19910912,08-MILB-0.6,08,MILB,0.6,09/12/1991,Unknown,,T,T,T,T,F,F,T,F,F,F,F,T,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1347,09-STLW-50.9_19910912_1347,09-STLW-50.9_19910912,09-STLW-50.9,09,STLW,50.9,09/12/1991,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1348,09-STLW-8.3_19910913_1348,09-STLW-8.3_19910913,09-STLW-8.3,09,STLW,8.3,09/13/1991,Unknown,,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1349,13-KIND-0.2_19910917_1349,13-KIND-0.2_19910917,13-KIND-0.2,13,KIND,0.2,09/17/1991,Unknown,,T,T,T,T,T,F,T,F,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1350,13-ROLF-2.4_19910917_1350,13-ROLF-2.4_19910917,13-ROLF-2.4,13,ROLF,2.4,09/17/1991,Unknown,,T,T,T,F,T,F,T,F,F,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1351,13-SAWK-0.1_19910917_1351,13-SAWK-0.1_19910917,13-SAWK-0.1,13,SAWK,0.1,09/17/1991,Unknown,,T,T,T,T,T,F,F,F,F,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1352,13-STNY-0.8_19910917_1352,13-STNY-0.8_19910917,13-STNY-0.8,13,STNY,0.8,09/17/1991,Unknown,,T,T,T,T,T,F,T,F,F,F,F,F,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1353,13-WAPP-11.9_19910917_1353,13-WAPP-11.9_19910917,13-WAPP-11.9,13,WAPP,11.9,09/17/1991,Unknown,,T,T,T,T,T,F,T,F,F,F,F,T,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1354,13-WAPP-21.8_19910917_1354,13-WAPP-21.8_19910917,13-WAPP-21.8,13,WAPP,21.8,09/17/1991,Unknown,,T,T,T,T,T,F,T,F,T,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1355,13-KIND-39.4_19911011_1355,13-KIND-39.4_19911011,13-KIND-39.4,13,KIND,39.4,10/11/1991,Unknown,,T,T,T,F,F,F,T,F,F,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1356,13-NORM-3.7_19911011_1356,13-NORM-3.7_19911011,13-NORM-3.7,13,NORM,3.7,10/11/1991,Unknown,,T,T,T,T,T,F,F,F,F,T,T,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1357,13-PATS-0.1_19911108_1357,13-PATS-0.1_19911108,13-PATS-0.1,13,PATS,0.1,11/08/1991,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,T,F,T,X,Very_poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1358,04-GENS-2.6_19920526_1358,04-GENS-2.6_19920526,04-GENS-2.6,04,GENS,2.6,05/26/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1359,04-GENS-3.7_19920526_1359,04-GENS-3.7_19920526,04-GENS-3.7,04,GENS,3.7,05/26/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1360,04-GENS-4.7_19920526_1360,04-GENS-4.7_19920526,04-GENS-4.7,04,GENS,4.7,05/26/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1361,04-GENS_BE-4.2_19920526_1361,04-GENS_BE-4.2_19920526,04-GENS_BE-4.2,04,GENS_BE,4.2,05/26/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1362,04-GENS-10.5_19920527_1362,04-GENS-10.5_19920527,04-GENS-10.5,04,GENS,10.5,05/27/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1363,04-GENS-12.3_19920527_1363,04-GENS-12.3_19920527,04-GENS-12.3,04,GENS,12.3,05/27/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1364,08-BEEV-0.8_19920602_1364,08-BEEV-0.8_19920602,08-BEEV-0.8,08,BEEV,0.8,06/02/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1365,08-BLCK-30.0_19920602_1365,08-BLCK-30.0_19920602,08-BLCK-30.0,08,BLCK,30.0,06/02/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1366,08-BLCK-76.5_19920602_1366,08-BLCK-76.5_19920602,08-BLCK-76.5,08,BLCK,76.5,06/02/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1367,09-STLW-86.3_19920602_1367,09-STLW-86.3_19920602,09-STLW-86.3,09,STLW,86.3,06/02/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1368,09-GRAS-10.1_19920603_1368,09-GRAS-10.1_19920603,09-GRAS-10.1,09,GRAS,10.1,06/03/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1369,09-STLW-3.5_19920603_1369,09-STLW-3.5_19920603,09-STLW-3.5,09,STLW,3.5,06/03/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1370,13-LHUD-124.1_19920609_1370,13-LHUD-124.1_19920609,13-LHUD-124.1,13,LHUD,124.1,06/09/1992,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1371,06-TOGH-12.2_19920611_1371,06-TOGH-12.2_19920611,06-TOGH-12.2,06,TOGH,12.2,06/11/1992,Unknown,,T,T,T,T,F,F,T,F,F,F,F,T,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1372,06-TOGH-19.8_19920611_1372,06-TOGH-19.8_19920611,06-TOGH-19.8,06,TOGH,19.8,06/11/1992,Unknown,,T,T,T,T,F,F,T,F,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1373,06-TOGH-23.5_19920611_1373,06-TOGH-23.5_19920611,06-TOGH-23.5,06,TOGH,23.5,06/11/1992,Unknown,,T,T,T,T,F,T,T,F,T,F,F,T,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1374,06-TOGH-27.0_19920611_1374,06-TOGH-27.0_19920611,06-TOGH-27.0,06,TOGH,27.0,06/11/1992,Unknown,,T,T,T,T,F,F,T,F,F,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1375,06-TOGH-29.8_19920611_1375,06-TOGH-29.8_19920611,06-TOGH-29.8,06,TOGH,29.8,06/11/1992,Unknown,,T,F,F,F,F,F,T,F,F,F,F,T,F,F,,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1376,06-TOGH-30.8_19920611_1376,06-TOGH-30.8_19920611,06-TOGH-30.8,06,TOGH,30.8,06/11/1992,Unknown,,T,F,F,F,F,T,T,F,T,F,F,T,F,T,X,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1377,06-TOGH-32.3_19920611_1377,06-TOGH-32.3_19920611,06-TOGH-32.3,06,TOGH,32.3,06/11/1992,Unknown,,T,T,F,F,F,F,T,F,F,F,F,T,F,T,X,Very_poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1378,06-TOGH-32.8_19920611_1378,06-TOGH-32.8_19920611,06-TOGH-32.8,06,TOGH,32.8,06/11/1992,Unknown,,T,F,T,T,F,F,T,F,F,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1379,06-TOGH_E-0.1_19920611_1379,06-TOGH_E-0.1_19920611,06-TOGH_E-0.1,06,TOGH_E,0.1,06/11/1992,Unknown,,T,T,T,T,F,F,T,F,T,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1380,06-TOGH_W-0.5_19920611_1380,06-TOGH_W-0.5_19920611,06-TOGH_W-0.5,06,TOGH_W,0.5,06/11/1992,Unknown,,T,T,T,T,F,F,T,T,T,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1381,06-TOGH_W-2.1_19920611_1381,06-TOGH_W-2.1_19920611,06-TOGH_W-2.1,06,TOGH_W,2.1,06/11/1992,Unknown,,T,T,T,T,F,F,T,T,T,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1382,06-TOGH_W-4.3_19920611_1382,06-TOGH_W-4.3_19920611,06-TOGH_W-4.3,06,TOGH_W,4.3,06/11/1992,Unknown,,T,T,T,T,F,F,T,F,T,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1383,07-CAYG_T27-0.8_19920616_1383,07-CAYG_T27-0.8_19920616,07-CAYG_T27-0.8,07,CAYG_T27,0.8,06/16/1992,Unknown,,T,F,T,T,T,F,T,T,F,F,F,F,F,F,,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1384,07-CAYG_T41-1.0_19920616_1384,07-CAYG_T41-1.0_19920616,07-CAYG_T41-1.0,07,CAYG_T41,1.0,06/16/1992,Unknown,,T,T,T,T,F,F,T,F,F,F,F,F,F,T,X,Very_good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1385,07-LEY_S-1.6_19920616_1385,07-LEY_S-1.6_19920616,07-LEY_S-1.6,07,LEY_S,1.6,06/16/1992,Unknown,,T,F,T,T,T,F,T,T,T,F,F,T,F,F,,Poor,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1386,07-SKAN_T4-1.5_19920616_1386,07-SKAN_T4-1.5_19920616,07-SKAN_T4-1.5,07,SKAN_T4,1.5,06/16/1992,Unknown,,T,F,T,F,F,F,F,F,T,F,F,T,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1387,07-SKAT_T14-0.2_19920616_1387,07-SKAT_T14-0.2_19920616,07-SKAT_T14-0.2,07,SKAT_T14,0.2,06/16/1992,Unknown,,T,F,T,T,F,F,T,T,F,F,F,T,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1388,07-SNDR-1.5_19920616_1388,07-SNDR-1.5_19920616,07-SNDR-1.5,07,SNDR,1.5,06/16/1992,Unknown,,T,F,T,T,T,F,T,F,T,F,F,F,F,F,,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1389,07-SRAG-9.0_19920616_1389,07-SRAG-9.0_19920616,07-SRAG-9.0,07,SRAG,9.0,06/16/1992,Unknown,,T,F,T,F,F,F,T,T,F,F,F,F,F,T,X,Good,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1390,04-GENS-10.5_19920630_1390,04-GENS-10.5_19920630,04-GENS-10.5,04,GENS,10.5,06/30/1992,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1391,04-GENS-12.3_19920630_1391,04-GENS-12.3_19920630,04-GENS-12.3,04,GENS,12.3,06/30/1992,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1392,04-GENS-2.6_19920701_1392,04-GENS-2.6_19920701,04-GENS-2.6,04,GENS,2.6,07/01/1992,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1393,04-GENS-3.7_19920701_1393,04-GENS-3.7_19920701,04-GENS-3.7,04,GENS,3.7,07/01/1992,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1394,04-GENS-4.7_19920701_1394,04-GENS-4.7_19920701,04-GENS-4.7,04,GENS,4.7,07/01/1992,Unknown,,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
1395,04-GENS_BE-4.2_19920701_1395,04-GENS_BE-4.2_19920701,04-GENS_BE-4.2,04,GENS_BE,4.2,07/01/1992,Unknown,,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
