HABITAT_FIELD_DATA_HISTORY_ID,EVENT_SMAS_ID,HFDH_GRADIENT,HFDH_EPIFAUNAL_COVER,HFDH_EMBEDDEDNESS_POOLING,HFDH_VELOCITY_DEPTH_REGIME,HFDH_SEDIMENT_DEPOSITION,HFDH_FLOW_STATUS,HFDH_CHANNEL_ALTERATION,HFDH_RIFFLE_BEND_FREQUENCY,HFDH_LEFT_BANK_STABILITY,HFDH_RIGHT_BANK_STABILITY,HFDH_LEFT_BANK_VEG,HFDH_RIGHT_BANK_VEG,HFDH_LEFT_BANK_VEG_ZONE,HFDH_RIGHT_BANK_VEG_ZONE,HFDH_HABITAT_COMMENT,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
648,12-BATV-0.1_20100728,High,15,15,15,16,11,16,7,8,9,4,4,3,3,,,,,
649,12-BATV-10.1_20100728,High,12,16,14,16,12,6,13,9,9,6,2,6,2,,,,,
650,12-BETY-0.2_20100728,High,17,17,15,18,16,15,18,8,9,9,8,9,6,,,,,
651,12-BIGW-0.1_20100728,High,18,16,18,15,19,20,15,10,10,10,10,10,10,,,,,
652,12-CANW-20.3_20100728,High,14,5,11,8,16,15,5,7,6,4,7,2,7,,,,,
653,12-CANW-52.8_20100728,High,20,15,20,17,20,20,20,10,10,10,10,10,10,,,,,
654,12-HBUT-2.6_20100728,High,8,12,3,20,11,20,20,10,10,10,10,7,7,,,,,
655,12-LKIL-0.4_20100728,High,8,13,19,15,16,20,18,10,10,9,10,8,10,,,,,
656,12-LYMA-3.8_20100728,High,20,11,13,19,15,20,18,10,10,10,10,10,10,,,,,
657,12-MANR-1.4_20100728,High,10,14,16,15,10,12,13,3,6,4,5,3,4,,,,,
658,12-MLLC-0.4_20100728,High,19,18,15,19,12,20,19,8,8,10,10,9,10,,,,,
659,12-MOHK-112.9_20100728,Low,8,12,15,19,20,10,5,5,5,9,9,8,8,,,,,
660,12-MOHK-124.0_20100728,High,15,16,16,20,20,20,6,9,9,9,9,9,9,,,,,
684,12-MOYR-5.1_20100728,High,8,13,18,17,20,20,19,9,9,8,8,10,7,,,,,
661,12-NMIL-13.9_20100728,High,9,9,10,13,19,17,20,5,10,4,10,8,10,,,,,
662,12-ORSK-0.9_20100728,High,5,4,12,18,20,20,15,9,9,9,9,6,6,,,,,
663,12-ORSK-20.6_20100728,High,4,11,20,15,18,20,17,10,10,10,9,9,8,,,,,
664,12-SAUQ-1.7_20100728,High,8,12,3,18,15,20,20,10,8,10,7,6,4,,,,,
665,12-SCHO-79.0_20100728,High,11,14,12,16,11,15,12,9,9,3,5,2,3,,,,,
666,12-SIXM-1.6_20100728,Low,13,9,8,11,19,20,10,10,10,10,8,10,8,,,,,
667,12-TAYL-1.3_20100728,High,19,11,16,15,19,18,14,10,10,10,10,10,10,,,,,
668,12-THRE-0.5_20100728,Low,15,17,8,13,20,20,16,10,10,10,10,10,10,,,,,
669,12-TWES-0.5_20100728,High,17,15,18,14,15,18,15,8,8,6,7,9,8,,,,,
670,12-BRIM-0.5_20100729,High,5,8,9,5,10,9,5,7,8,3,3,2,2,,,,,
671,12-BVRC-1.3_20100729,High,15,17,13,11,14,11,16,9,9,9,8,9,2,,,,,
672,12-CAJO-5.1_20100729,High,12,11,13,8,19,19,9,10,10,5,5,8,6,"Farm stream , warm and turbid",,,,
673,12-CAYA-4.7_20100729,High,14,12,14,17,17,17,18,8,7,5,5,3,2,,,,,
674,07-CAYG_T27-0.8_20100729,High,15,15,16,17,19,18,14,9,10,10,10,10,9,Nice,,,,
675,12-COBL-0.6_20100729,High,13,19,15,16,9,12,16,9,9,5,5,4,4,,,,,
676,12-DOCK-0.5_20100729,High,5,3,1,4,2,2,15,8,8,9,9,5,8,,,,,
677,12-FLAT-0.1_20100729,High,8,5,9,9,14,15,17,10,10,4,7,3,2,,,,,
678,12-FOX-6.1_20100729,High,16,17,17,16,8,18,18,7,7,9,6,8,2,,,,,
679,12-FULM-3.8_20100729,High,8,16,18,18,10,20,13,4,4,2,2,6,9,,,,,
680,12-HALE-0.7_20100729,Low,15,16,13,12,19,15,20,7,9,3,10,0,10,,,,,
681,12-INDK-0.3_20100729,High,12,12,15,10,18,13,12,8,3,8,5,9,9,,,,,
682,12-MATT-0.4_20100729,High,12,16,13,15,19,15,20,9,9,7,7,7,3,,,,,
683,12-MOHK-98.9_20100729,High,3,13,16,10,13,20,7,5,5,8,8,5,8,,,,,
685,12-ORSK_T16-0.6_20100729,Low,4,13,8,9,20,20,10,10,10,7,7,5,5,,,,,
686,12-OTSO-1.1_20100729,High,8,13,6,16,8,20,8,9,9,9,9,10,7,,,,,
687,12-OTSQ-2.4_20100729,High,5,11,18,17,8,20,10,10,5,9,6,9,6,,,,,
688,12-SHAK-1.8_20100729,High,13,16,16,10,16,11,10,4,8,5,8,8,3,,,,,
689,12-STCH-2.7_20100729,High,5,15,19,18,15,10,19,9,9,9,9,4,4,,,,,
690,12-VWIE-0.3_20100729,High,3,8,5,7,4,6,8,3,4,6,6,6,6,,,,,
691,13-BUSK-3.0_20100803,High,18,17,16,18,17,15,18,9,7,3,5,3,4,,,,,
692,07-FALL-17.9_20100803,High,16,18,18,0,10,20,20,10,10,10,10,10,10,,,,,
693,14-LOOM-0.5_20100803,High,18,16,13,19,11,18,17,8,6,9,9,10,10,,,,,
694,13-ROND-58.0_20100803,High,14,17,18,20,12,16,20,8,7,8,8,4,10,,,,,
695,13-USOP-21.5_20100803,High,14,13,12,20,9,15,12,8,8,7,8,7,8,,,,,
696,14-BAXT-3.6_20100804,High,15,16,14,18,10,20,18,10,10,10,8,10,7,,,,,
697,14-CHOL-0.4_20100804,High,18,14,15,15,10,20,16,5,8,8,8,7,7,,,,,
698,14-DRYD-2.1_20100804,High,14,16,20,20,19,20,20,9,9,9,9,10,10,,,,,
699,14-FCLV-0.1_20100804,High,20,14,15,18,15,20,17,9,9,9,9,10,10,,,,,
700,14-SHRB_T2-0.2_20100804,High,18,17,15,18,14,20,18,10,10,10,10,8,10,Clear cut in basin,,,,
701,14-CHSB-1.0_20100805,High,16,15,20,20,15,20,20,10,9,10,9,10,9,,,,,
702,14-GBUR-0.8_20100805,High,14,14,14,19,20,20,20,10,10,10,10,10,7,,,,,
703,14-HUCK-0.4_20100805,High,18,12,15,19,13,10,20,8,6,7,6,10,10,,,,,
704,14-THOH-4.3_20100805,High,20,17,10,19,20,20,20,10,10,10,10,10,8,,,,,
705,14-WOFH-1.2_20100805,High,18,14,15,20,17,20,18,10,10,10,10,10,8,,,,,
706,09-BLAH-4.2_20100817,Low,4,,11,18,16,20,10,,,,,10,10,Swamp,,,,
707,09-ELMK-4.3_20100817,High,15,16,13,17,16,15,18,7,8,2,5,2,5,,,,,
708,09-PLST-0.8_20100817,High,9,8,9,16,15,16,4,9,9,10,10,10,10,,,,,
709,09-SCKE-14.4_20100817,Low,9,7,6,18,18,18,15,,,,,10,6,,,,,
710,09-LSAL-3.1_20100818,High,16,11,16,17,16,18,18,9,9,5,5,4,2,,,,,
711,09-OMAL-0.3_20100818,High,11,8,11,12,11,16,15,9,9,9,9,9,8,,,,,
712,09-RAQU-3.2_20100818,High,11,11,6,15,15,10,10,9,9,1,5,3,5,,,,,
713,09-RAQU-44.2_20100818,High,16,,15,16,15,20,14,9,9,10,6,10,5,,,,,
714,09-REGI-7.8_20100818,High,15,15,6,17,16,15,15,9,9,6,5,6,4,,,,,
715,09-REGI_W-2.7_20100818,High,15,18,19,17,15,16,17,9,9,5,5,6,1,,,,,
716,09-CGAY-2.7_20100819,High,16,11,18,18,17,15,19,8,7,6,6,2,1,,,,,
717,09-ENGL-2.5_20100819,High,18,16,16,17,16,20,16,9,9,9,9,10,10,,,,,
718,13-KIND-17.7_20100819,High,5,15,18,6,12,8,10,9,1,7,1,8,8,Ever changing stream,,,,
719,13-KIND-39.4_20100819,High,16,17,15,16,18,20,10,9,7,10,10,7,3,,,,,
720,09-LTRU-2.2_20100819,High,17,11,15,19,16,20,19,9,9,10,10,10,10,,,,,
721,13-ROKY-1.0_20100819,High,12,12,2,16,17,4,9,9,6,9,6,6,6,,,,,
722,01-BUFC-2.2_20100824,High,10,13,10,14,17,14,13,8,8,8,8,5,6,,,,,
723,01-CYGA-2.4_20100824,High,8,10,11,12,14,11,8,7,8,4,1,3,1,,,,,
724,03-FOMI-0.8_20100824,High,10,12,12,9,14,12,12,3,4,6,4,5,4,,,,,
725,03-FOMI_T3-1.0_20100824,High,3,4,6,6,6,11,6,6,6,5,5,3,5,,,,,
726,03-JEDO-1.4_20100824,High,10,13,10,16,19,17,17,8,6,5,4,0,1,,,,,
727,03-JOHN-9.1_20100824,High,6,6,10,13,20,18,15,10,9,10,6,10,0,,,,,
728,03-ORCH-12.2_20100824,High,11,11,10,16,20,15,18,8,8,7,7,7,9,,,,,
729,01-SABO-0.2_20100824,High,18,10,15,18,18,18,20,4,,,8,8,9,,,,,
730,03-TELV-12.8_20100824,Low,12,15,10,16,11,5,6,6,1,1,1,1,,,,,,
731,01-YUGA-3.9_20100824,High,10,10,10,11,18,11,17,8,8,9,9,8,8,,,,,
732,01-BUFC-21.2_20100825,High,14,13,16,11,11,16,17,8,8,2,2,2,1,,,,,
733,01-BUFC_T48-0.2_20100825,High,10,13,6,11,11,10,11,6,3,2,1,1,0,,,,,
734,01-CATT-46.9_20100825,High,11,18,13,15,18,13,13,8,6,9,9,10,10,,,,,
735,01-CONN-2.5_20100825,High,8,15,13,7,16,18,18,8,7,8,7,10,10,,,,,
736,01-ELLI-28.4_20100825,High,11,12,8,12,15,15,11,8,7,5,6,6,8,,,,,
737,01-ELLI-31.3_20100825,High,13,12,7,13,16,15,15,7,7,4,3,3,4,,,,,
738,01-FOST-0.1_20100825,High,10,13,13,15,15,10,15,5,5,3,3,1,1,,,,,
739,01-LBUF-0.1_20100825,High,7,14,11,16,16,13,16,8,6,5,5,4,6,,,,,
740,01-PICR-0.2_20100825,High,15,15,5,18,5,18,16,9,9,9,9,3,5,,,,,
741,06-PIPE-0.7_20100825,High,5,15,10,19,6,19,15,5,8,1,5,1,8,,,,,
742,01-RUCK-0.7_20100825,High,15,10,10,12,18,12,17,7,7,8,8,8,8,,,,,
743,01-SABO_N-0.6_20100825,Low,6,11,7,11,12,7,8,7,7,0,0,0,0,,,,,
744,01-SPEN-1.5_20100825,High,13,16,13,11,12,16,20,33,33,55,55,10,10,,,,,
745,01-SPOO-0.3_20100825,High,10,3,6,2,11,2,15,5,5,5,5,6,6,,,,,
746,01-TEEN-0.4_20100825,High,11,10,10,13,14,18,13,9,9,9,9,8,7,,,,,
747,01-TEEN-22.4_20100825,High,10,13,6,15,16,16,18,6,6,6,6,9,9,,,,,
748,01-TEES_T4-1.4_20100825,High,5,12,12,16,8,15,20,10,10,6,6,10,10,,,,,
749,01-TONA_E-0.1_20100825,High,16,13,14,16,15,16,,7,7,9,6,9,8,,,,,
750,01-CAZE_E-15.7_20100826,High,10,6,11,11,10,13,13,5,5,6,4,5,3,,,,,
751,01-CAZE_W-11.0_20100826,High,12,11,11,16,7,14,15,7,6,1,1,1,1,,,,,
752,01-MURD_T4-1.2_20100831,Low,11,13,10,10,15,15,15,9,6,6,6,9,8,,,,,
753,01-TONA-34.4_20100831,Low,13,13,14,16,12,14,10,4,4,3,3,2,6,,,,,
754,01-TONA-58.3_20100831,High,16,15,15,10,16,16,14,8,9,8,9,3,6,,,,,
755,01-TONA-65.8_20100831,High,16,15,15,10,17,18,17,8,6,9,7,3,2,,,,,
756,01-BELS-2.7_20100901,High,11,19,10,11,8,14,15,8,9,9,9,9,5,,,,,
757,01-CHAU-0.4_20100901,High,15,14,10,15,10,13,16,7,6,6,7,3,3,,,,,
758,01-COEL-1.5_20100901,High,10,17,8,15,9,15,11,6,6,4,6,5,5,,,,,
759,01-CWAY-0.2_20100901,High,13,18,15,10,10,15,17,9,9,10,10,8,5,,,,,
760,01-CWAY-8.3_20100901,High,13,18,10,6,10,11,6,5,6,5,6,8,8,,,,,
761,01-HYCK-0.9_20100901,High,15,16,10,10,8,11,16,6,6,5,5,2,2,,,,,
762,01-LCHA-0.1_20100901,High,15,18,10,16,7,15,17,9,9,10,9,10,9,,,,,
763,01-VBUR-0.4_20100901,High,11,17,9,10,8,18,6,4,4,4,4,10,2,,,,,
764,01-WLNT-8.2_20100901,High,13,16,14,13,10,16,10,5,6,5,7,2,2,,,,,
765,01-BSIS-8.6_20100902,High,8,19,6,16,9,16,5,4,6,5,3,8,2,,,,,
766,01-CATT-2.0_20100902,High,10,13,18,11,12,15,6,5,3,6,4,3,3,,,,,
767,01-CLEA-3.1_20100902,High,16,13,11,10,17,18,17,6,8,4,8,0,3,,,,,
768,01-HAMP-1.2_20100902,High,3,20,6,18,8,12,5,2,5,4,4,6,2,,,,,
769,04-BLCB-1.8_20100907,High,12,16,9,14,13,18,13,9,7,8,8,7,10,,,,,
770,04-CRYD-2.3_20100907,High,15,12,13,13,17,17,15,7,,,8,10,10,,,,,
771,04-KNIT-0.3_20100907,High,14,16,14,13,12,18,20,8,8,7,7,6,6,,,,,
772,04-PHIP-0.1_20100907,High,16,17,16,14,8,17,19,6,10,6,5,10,6,,,,,
773,04-VANM-1.3_20100907,High,10,17,13,17,14,18,20,10,10,10,10,7,8,,,,,
774,04-VCAM-0.4_20100907,High,9,8,16,15,13,14,15,10,10,8,8,7,9,,,,,
775,04-CLCK-0.2_20100908,High,0,6,6,10,19,0,14,1,1,0,0,2,2,Dredged site,,,,
776,04-SILO-3.6_20100908,High,20,10,20,13,15,19,20,5,6,8,7,8,10,,,,,
777,04-SPRG-0.3_20100908,High,16,9,19,15,20,18,20,7,6,6,6,7,2,,,,,
778,14-BSHR-3.7_20100922,Low,8,5,15,11,11,11,13,8,6,9,6,9,6,,,,,
779,14-DELA-1.8_20100922,High,6,13,3,12,8,13,5,9,9,3,3,0,1,,,,,
780,14-HAFY-0.2_20100922,High,17,12,14,17,7,11,18,5,5,3,2,2,1,,,,,
781,14-LDEL-0.1_20100922,High,15,15,11,15,17,15,18,9,7,7,2,2,1,,,,,
782,14-PINE-0.2_20100922,High,16,17,10,16,5,15,16,6,3,5,1,7,1,,,,,
783,14-TENR_E-1.4_20100922,High,19,14,10,17,8,19,19,5,7,7,7,8,8,,,,,
784,14-WDEL-75.7_20100922,High,15,16,16,16,18,10,20,9,9,5,8,2,9,,,,,
785,14-CALL-0.2_20100923,High,13,13,11,12,8,12,16,8,8,3,3,2,1,,,,,
786,14-DELA-50.4_20100923,High,11,16,1,12,6,16,8,9,9,6,5,2,3,,,,,
787,14-MONG_M-0.3_20100923,High,16,13,13,11,11,16,12,8,8,8,7,6,8,,,,,
788,14-MONG_W-0.2_20100923,High,15,12,15,14,8,16,11,6,7,3,9,3,9,,,,,
789,13-BAIL-1.0_20101020,High,13,13,12,14,13,9,14,8,6,8,4,8,5,,,,,
790,13-CROB-1.5_20101020,High,18,15,10,15,11,11,17,5,5,5,4,5,3,,,,,
791,13-CROS_T2-0.4_20101020,High,16,16,10,14,11,20,16,7,8,9,7,8,6,,,,,
792,13-EBCR_T13-0.3_20101020,High,19,14,15,13,19,16,18,9,9,9,8,10,3,,,,,
793,13-HAVI-2.3_20101020,High,15,14,16,17,19,17,20,8,7,9,9,10,9,,,,,
794,13-LSAG_T1-0.1_20101020,High,18,14,11,18,15,19,17,10,10,10,10,10,10,,,,,
795,13-PEEK-13.3_20101020,High,18,12,13,10,13,15,17,7,8,4,5,4,5,,,,,
796,13-BUSK-3.0_20101021,High,18,13,12,16,17,11,19,8,7,3,5,3,4,,,,,
797,13-CHES_T5-1.1_20101021,High,18,17,11,18,16,16,19,9,7,9,5,9,4,,,,,
798,14-LOOM-0.5_20101021,High,19,14,15,18,18,20,18,7,7,8,10,8,10,,,,,
799,13-ROND-58.0_20101021,High,17,13,12,17,17,12,19,6,7,4,8,3,7,,,,,
800,13-SUGL-1.4_20101021,High,18,17,12,18,18,19,19,5,6,10,5,10,5,,,,,
801,14-BAXT-3.6_20101027,High,16,14,11,15,18,16,19,8,5,9,2,9,2,,,,,
802,13-BRCH-4.0_20101027,High,17,14,11,14,19,15,18,6,8,8,3,9,3,,,,,
803,14-CHSB-1.0_20101027,High,15,15,11,13,18,18,19,8,6,9,3,9,2,,,,,
804,14-DRYD-2.1_20101027,High,16,14,12,13,18,16,18,5,5,9,5,9,4,,,,,
805,14-EMRY-0.7_20101027,High,15,15,14,15,19,15,18,8,6,4,4,2,4,,,,,
806,14-HUCK-0.4_20101027,High,15,14,10,14,19,19,19,7,7,9,8,10,8,,,,,
807,14-SHRB_T2-0.2_20101027,High,14,17,16,13,19,19,17,6,7,5,8,4,8,,,,,
808,14-CHOL-0.4_20101028,High,15,13,13,12,18,12,18,5,3,5,1,5,1,,,,,
809,14-FCLV-0.1_20101028,High,14,12,11,12,20,14,18,4,4,9,9,9,9,,,,,
810,14-GBUR-0.8_20101028,High,14,12,10,11,17,14,18,7,7,7,2,7,2,,,,,
811,14-THOH-4.3_20101028,High,15,16,13,13,18,12,18,8,6,7,4,6,3,,,,,
812,14-WOFH-1.2_20101028,High,11,18,12,19,19,19,18,7,5,8,1,9,2,,,,,
813,13-ESOP-8.9_20110331,,16,11,14,19,17,15,19,9,10,9,9,10,10,,,,,
814,13-ESOP-16.1_20110331,,11,12,6,8,7,17,15,6,6,8,8,10,9,,,,,
815,13-ESOP-19.8_20110331,,17,19,10,20,17,18,19,9,9,10,10,10,10,,,,,
816,14-BAXT-3.6_20110510,High,16,16,6,17,18,17,20,8,8,9,3,9,2,,,,,
817,14-BISC-0.7_20110510,High,17,17,13,18,19,19,19,8,7,9,7,9,6,,,,,
818,14-CHSB-1.0_20110510,High,17,13,6,17,19,16,20,9,8,9,4,9,3,,,,,
819,14-DRYD-2.1_20110510,High,14,16,9,16,18,19,20,6,5,9,7,10,9,,,,,
820,07-FALL-17.9_20110510,High,18,17,15,18,18,12,18,6,7,8,9,10,9,,,,,
821,14-SHRB_T2-0.2_20110510,High,17,14,14,17,18,16,17,6,4,4,6,3,8,,,,,
822,13-USOP-21.5_20110510,High,17,17,15,18,18,13,19,7,5,4,6,3,4,,,,,
823,14-CHOL-0.4_20110511,High,14,13,13,13,18,9,19,6,5,5,1,4,1,,,,,
824,14-FCLV-0.1_20110511,High,17,12,10,15,18,16,19,4,5,9,7,10,10,,,,,
825,14-GBUR-0.8_20110511,High,16,16,0,15,18,10,17,7,8,7,1,8,1,,,,,
826,14-THOH-4.3_20110511,High,16,13,8,15,18,16,20,8,8,7,6,7,3,,,,,
827,14-WOFH-1.2_20110511,High,13,15,11,16,18,10,19,5,5,7,2,8,1,,,,,
828,13-BRCH-4.0_20110512,High,15,18,12,18,18,15,19,7,7,7,7,9,6,,,,,
829,14-EMRY-0.7_20110512,High,13,15,13,16,18,16,19,8,8,5,7,1,6,,,,,
830,14-HUCK-0.4_20110512,High,18,17,13,17,18,19,19,8,8,8,9,10,10,,,,,
831,14-MLBR-9.0_20110512,High,13,18,13,18,16,17,19,7,8,6,9,2,10,,,,,
832,13-BAIL-1.0_20110516,High,15,11,14,16,17,17,15,8,5,8,3,9,5,,,,,
833,13-CROB-1.5_20110516,High,16,14,13,16,18,15,17,8,5,4,8,6,9,,,,,
834,13-CROS_T2-0.4_20110516,High,12,16,9,12,14,19,13,8,6,6,3,7,3,,,,,
835,13-EBCR_T13-0.3_20110516,High,15,15,12,18,19,12,19,8,6,4,2,6,1,,,,,
836,13-HAVI-2.3_20110516,High,14,13,15,16,18,14,13,7,7,7,5,9,7,,,,,
837,13-LSAG_T1-0.1_20110516,High,16,13,10,17,18,20,18,9,9,10,10,10,10,,,,,
838,13-PEEK-13.3_20110516,High,15,15,0,15,17,16,15,7,6,5,6,3,3,,,,,
839,12-BATV-14.0_20110517,High,13,12,11,14,19,14,17,6,8,4,4,3,4,,,,,
840,13-BUSK-3.0_20110517,High,17,14,11,16,19,12,19,9,7,2,6,2,4,,,,,
841,13-CHES_T5-1.1_20110517,High,16,17,10,16,19,13,20,9,9,7,3,9,2,,,,,
842,14-LOOM-0.5_20110517,High,16,14,11,13,20,20,20,7,9,8,9,8,10,,,,,
843,13-ROND-58.0_20110517,High,15,11,12,17,19,14,19,8,9,2,9,2,9,,,,,
844,13-SUGL-1.4_20110517,High,16,15,12,14,19,18,19,6,8,8,4,10,3,,,,,
845,07-OWLI-3.0_20110628,High,4,5,5,6,9,9,7,5,4,4,5,3,7,"Braided channel  downstream from hiway bridge , riprap flood control",,,,
846,07-OWLI-5.3_20110628,High,14,10,20,13,15,19,15,4,4,10,10,9,9,,,,,
847,07-OWLI-7.1_20110628,High,14,10,13,16,18,14,7,8,9,9,9,9,9,,,,,
848,07-OWLI-9.9_20110628,High,7,6,8,8,9,6,9,6,7,9,9,8,4,"More gravel less rock than 03, thick underbrush at banks with some knotweed",,,,
849,07-OWLI-12.4_20110628,High,7,16,13,3,9,11,8,6,7,4,6,2,6,"Few large trees or canopy, more macrophyte encroachment on waterline",,,,
850,07-OWLI-13.8_20110628,High,7,6,6,8,9,8,4,7,5,7,9,9,7,"Rural residential area on lightly used side road, dnstrm from wwtp",,,,
851,07-OWLI-15.0_20110628,High,3,8,3,8,8,9,13,3,5,9,9,2,2,STREAM FLOWS THRU TOWN IN NARROW VEGETATED CORRIDOR,,,,
852,01-BSIS-8.6_20110705,High,4,18,8,18,18,15,13,5,8,8,4,9,2,,,,,
853,01-CATT-2.0_20110705,High,11,17,13,13,15,14,16,5,2,4,4,8,9,,,,,
854,01-CHAU-0.4_20110705,High,18,12,18,13,12,17,18,8,7,8,6,5,5,,,,,
855,01-WLNT-8.2_20110705,High,11,17,9,16,17,16,12,6,7,8,7,1,1,,,,,
856,01-CAZE_E-0.3_20110706,High,14,12,15,15,18,15,18,9,9,9,9,9,8,"Cedar waxwing, heron, kingfisher",,,,
857,01-CLEA-3.1_20110706,High,19,19,18,15,18,18,18,8,8,8,8,5,5,,,,,
858,01-LBUF-0.1_20110706,High,9,15,12,12,16,11,10,8,5,8,7,3,8,,,,,
859,01-RUCK-0.7_20110706,High,10,13,8,9,18,13,6,9,5,7,7,7,7,,,,,
860,01-SPOO-0.3_20110706,High,3,3,4,4,17,3,14,6,6,6,6,8,8,Major channelization and bulldozing of stream bed. Very little good habitat remains.,,,,
861,01-TONA_E-0.1_20110706,High,17,13,13,16,19,16,18,8,9,8,7,5,5,,,,,
862,03-FOMI-0.8_20110707,High,14,14,10,15,16,12,11,4,6,4,4,4,5,Stream has stone walls upstrem in golf course,,,,
863,03-JOHN-9.1_20110707,High,12,14,11,16,18,16,14,9,9,9,6,9,6,,,,,
864,01-TONA-65.8_20110707,High,13,14,14,14,18,10,14,9,9,6,5,3,2,,,,,
865,13-BAIL-1.0_20110719,High,19,12,15,16,19,20,18,9,9,10,9,10,10,,,,,
866,13-CROB-1.5_20110719,High,13,14,13,16,12,15,19,10,5,7,7,10,10,,,,,
867,13-CROS_T2-0.4_20110719,High,13,19,11,15,16,20,14,7,7,8,7,10,10,,,,,
868,13-EBCR_T13-0.3_20110719,High,16,11,10,11,18,16,18,9,9,9,6,8,4,,,,,
869,13-HAVI-2.3_20110719,High,15,14,14,15,14,18,18,10,7,9,9,10,9,,,,,
870,13-CHES_T5-1.1_20110720,High,18,18,15,17,20,20,19,9,8,10,10,10,5,Road close to right  shore,,,,
871,13-LSAG_T1-0.1_20110720,High,18,15,17,17,19,20,20,10,10,10,10,10,10,,,,,
872,13-PEEK-13.3_20110720,High,16,13,15,8,18,20,18,7,6,8,8,7,7,,,,,
873,13-ROND-58.0_20110720,High,19,18,16,17,17,20,18,7,7,8,9,4,10,,,,,
874,13-SUGL-1.4_20110720,High,19,15,15,17,17,20,19,6,6,10,9,10,7,,,,,
875,13-BRCH-4.0_20110721,High,19,19,16,18,20,18,20,7,6,10,8,10,4,,,,,
876,13-BUSK-3.0_20110721,High,20,19,15,19,20,15,19,9,8,8,8,3,3,Old shoring structures on left bank. Camp close to right bank.,,,,
877,14-EMRY-0.7_20110721,High,19,19,18,16,19,15,18,8,7,7,7,3,4,,,,,
878,14-LOOM-0.5_20110721,High,18,15,15,19,15,20,20,9,7,10,10,10,10,,,,,
879,02-BIGI-0.7_20110726,High,14,18,9,7,6,13,6,9,6,5,7,2,8,,,,,
880,01-BLAS-0.1_20110726,High,7,16,4,7,14,16,4,5,5,5,5,7,7,,,,,
881,02-BRLO_T2-1.0_20110726,Low,6,6,5,15,2,15,3,6,6,3,3,2,2,Stream is a farm field tributary straight and low gradient with very little flow.,,,,
882,02-CASS-12.5_20110726,High,10,13,11,18,17,14,15,7,7,8,8,9,8,,,,,
883,02-CASS-38.5_20110726,High,17,17,4,16,16,17,1,8,8,7,6,2,1,,,,,
884,02-CHRY_T2-2.6_20110726,Low,0,0,0,0,0,18,13,7,7,7,7,5,5,Dry streakbed,,,,
885,02-CLER-8.6_20110726,Low,15,7,10,18,9,19,11,9,6,9,10,10,7,,,,,
886,02-CLER_T6-3.1_20110726,Low,17,18,9,17,6,17,8,8,5,9,9,7,10,Very low flow wide channel large rubble,,,,
887,02-DWIT-0.3_20110726,Low,5,10,10,8,16,1,16,5,5,4,4,3,3,,,,,
888,01-FOST-0.5_20110726,High,15,16,6,6,15,14,14,6,6,3,5,3,4,,,,,
889,02-FREN-3.4_20110726,High,12,17,14,16,12,13,13,7,8,9,9,10,10,,,,,
890,02-GOOS-2.9_20110726,High,10,18,15,7,16,13,13,6,8,6,5,2,1,,,,,
891,02-PGAS-0.6_20110726,Low,10,13,14,16,15,12,8,8,6,8,4,7,2,Non-wadeable,,,,
892,01-RUCK-3.9_20110726,High,14,14,3,15,16,14,15,7,7,7,7,4,2,New construction taking place along right bank.,,,,
893,01-RUCK-4.0_20110726,High,10,13,3,2,17,15,3,5,7,5,5,2,2,,,,,
894,02-SLAB-5.4_20110726,Low,9,10,3,16,12,1,6,5,5,8,8,7,7,Wetland char.,,,,
895,02-WANG-43.4_20110726,Low,10,11,15,16,15,17,11,5,5,9,9,10,10,Low flow muddy sandy substrate,,,,
896,02-ALGY-20.3_20110727,High,3,15,15,15,17,10,16,6,3,6,6,1,1,,,,,
897,02-ALGY-21.1_20110727,High,13,12,17,11,11,12,13,7,7,5,8,4,9,,,,,
898,02-BOYC-0.9_20110727,Low,11,13,9,14,9,19,5,8,6,9,9,2,8,,,,,
899,02-CASS-2.3_20110727,Low,12,9,13,9,10,15,6,8,7,9,8,10,9,,,,,
900,02-CHAD-2.2_20110727,High,11,14,15,16,11,9,12,7,7,3,3,3,1,,,,,
901,02-CHAD-5.6_20110727,High,9,10,10,12,17,4,15,9,7,1,1,1,1,,,,,
902,02-CLER-1.3_20110727,High,18,18,14,16,9,18,15,3,3,8,8,2,2,Lots of large mature trees have fallen into stream bad flooding in the spring of 2011,,,,
903,02-CRIK-0.3_20110727,High,18,18,15,18,14,16,19,8,10,10,10,10,10,,,,,
904,02-CRLT-0.2_20110727,High,15,15,0,16,1,11,12,9,9,10,8,10,6,,,,,
905,02-CSPG-9.0_20110727,High,10,14,11,14,6,17,11,5,5,6,6,2,1,"Pasture on both sides then ag, low flow water rips through here in the spring",,,,
906,02-ENSH-0.4_20110727,High,17,15,5,18,18,18,18,3,8,8,3,8,5,,,,,
907,02-FORA_W-0.5_20110727,High,14,16,5,11,17,15,15,5,5,6,6,3,3,,,,,
908,02-GVAL-9.7_20110727,High,10,11,8,16,5,10,7,8,8,8,9,1,1,Agg both sides looks like stream was channlized   purple loostrife on shoreline,,,,
909,02-GVAL-12.3_20110727,High,11,11,16,16,13,17,4,8,8,8,8,4,2,,,,,
910,02-ISCH-13.8_20110727,High,18,14,15,14,17,17,14,6,9,8,6,2,1,Rail road tracks left bank yards right bank,,,,
